	FULL_UNKNOWN	EXPLICIT_QUESTION	INCOMPLETE_EVIDENCE	PROBABLE_UNDERSTANDING	SUPERFICIAL_RELATIONSHIP	FUTURE_WORK	FUTURE_PREDICTION	IMPORTANT_CONSIDERATION	ANOMALY_CURIOUS_FINDING	ALTERNATIVE_OPTIONS_CONTROVERSY	DIFFICULT_TASK	PROBLEM_COMPLICATION	QUESTION_ANSWERED_BY_THIS_WORK	OBO_IGNORANCE_SUMS
CHEBI_EXT	314.0	109.0	3989.0	1524.0	3202.0	654.0	222.0	1297.0	954.0	1391.0	230.0	402.0	571.0	14859.0
CL_EXT	17.0	7.0	240.0	79.0	162.0	17.0	21.0	68.0	67.0	79.0	13.0	15.0	13.0	798.0
GO_BP_EXT	300.0	134.0	4241.0	1448.0	3681.0	718.0	305.0	1484.0	980.0	1271.0	245.0	432.0	557.0	15796.0
GO_CC_EXT	12.0	3.0	258.0	85.0	147.0	13.0	16.0	66.0	71.0	74.0	12.0	20.0	10.0	787.0
GO_MF_EXT	27.0	3.0	306.0	110.0	227.0	21.0	9.0	58.0	69.0	77.0	17.0	28.0	30.0	982.0
MOP_EXT	7.0	1.0	89.0	17.0	109.0	5.0	4.0	16.0	14.0	26.0	8.0	0.0	18.0	314.0
NCBITaxon_EXT	90.0	50.0	1441.0	522.0	959.0	270.0	119.0	518.0	370.0	460.0	91.0	169.0	161.0	5220.0
PR_EXT	93.0	32.0	1361.0	513.0	1176.0	121.0	66.0	367.0	367.0	482.0	70.0	102.0	218.0	4968.0
SO_EXT	72.0	20.0	765.0	250.0	642.0	83.0	62.0	206.0	143.0	229.0	61.0	39.0	107.0	2679.0
UBERON_EXT	238.0	94.0	3682.0	1360.0	2953.0	551.0	243.0	1337.0	977.0	1145.0	208.0	336.0	483.0	13607.0
IGNORANCE_OBO_SUM	1170.0	453.0	16372.0	5908.0	13258.0	2453.0	1067.0	5417.0	4012.0	5234.0	955.0	1543.0	2168.0	60010.0
IGNORANCE_OBO_AVERAGE	212.72727272727272	82.36363636363636	2976.7272727272725	1074.1818181818182	2410.5454545454545	446.0	194.0	984.9090909090909	729.4545454545455	951.6363636363636	173.63636363636363	280.54545454545456	394.1818181818182	10910.90909090909
IGNORANCE_OBO_MEDIAN	91.5	41.0	1401.0	517.5	1067.5	195.5	92.5	442.5	368.5	471.0	80.5	135.5	189.5	5094.0
