	FULL_UNKNOWN	EXPLICIT_QUESTION	INCOMPLETE_EVIDENCE	PROBABLE_UNDERSTANDING	SUPERFICIAL_RELATIONSHIP	FUTURE_WORK	FUTURE_PREDICTION	IMPORTANT_CONSIDERATION	ANOMALY_CURIOUS_FINDING	ALTERNATIVE_OPTIONS_CONTROVERSY	DIFFICULT_TASK	PROBLEM_COMPLICATION	QUESTION_ANSWERED_BY_THIS_WORK	UNIQUE_OBO_IGNORANCE_SUMS (SET)
CHEBI	95.0	35.0	433.0	263.0	341.0	154.0	63.0	201.0	183.0	235.0	58.0	97.0	98.0	561.0
CL	11.0	4.0	62.0	35.0	52.0	8.0	11.0	29.0	27.0	29.0	7.0	7.0	5.0	79.0
GO_BP	34.0	17.0	182.0	94.0	165.0	44.0	33.0	96.0	81.0	79.0	28.0	30.0	31.0	239.0
GO_CC	3.0	0.0	31.0	12.0	25.0	2.0	2.0	14.0	14.0	12.0	3.0	2.0	2.0	38.0
GO_MF	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
MOP	0.0	0.0	2.0	2.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	3.0
NCBITaxon	6.0	5.0	20.0	14.0	19.0	10.0	7.0	10.0	12.0	12.0	9.0	9.0	9.0	22.0
PR	27.0	9.0	188.0	80.0	187.0	24.0	17.0	59.0	90.0	87.0	24.0	22.0	46.0	247.0
SO	5.0	2.0	27.0	14.0	22.0	7.0	7.0	11.0	11.0	7.0	4.0	3.0	9.0	35.0
UBERON	62.0	27.0	257.0	155.0	230.0	82.0	54.0	154.0	134.0	121.0	50.0	59.0	54.0	351.0
UNIQUE_IGNORANCE_OBO_SUM	243.0	99.0	1202.0	670.0	1043.0	331.0	194.0	576.0	553.0	582.0	183.0	229.0	254.0	1576.0
UNIQUE_IGNORANCE_OBO_AVERAGE	44.18181818181818	18.0	218.54545454545453	121.81818181818181	189.63636363636363	60.18181818181818	35.27272727272727	104.72727272727273	100.54545454545455	105.81818181818181	33.27272727272727	41.63636363636363	46.18181818181818	286.54545454545456
UNIQUE_IGNORANCE_OBO_MEDIAN	19.0	7.0	122.0	57.5	108.5	17.0	14.0	44.0	54.0	54.0	16.5	15.5	20.0	159.0
