PMC6022422.nxml.gz-113,"[['10784'], ['10793'], 'Generally', 'generally', 'PROBABLE_UNDERSTANDING', 'PMC6022422.nxml.gz_62']"
PMC6022422.nxml.gz-147,"[['11887'], ['11889'], 'as', 'as', 'PROBABLE_UNDERSTANDING', 'PMC6022422.nxml.gz_68']"
PMC6022422.nxml.gz-148,"[['11887'], ['11889'], 'as', 'as', 'PROBABLE_UNDERSTANDING', 'PMC6022422.nxml.gz_68']"
PMC6022422.nxml.gz-158,"[['12923'], ['12930'], 'reasons', 'reasons', 'PROBABLE_UNDERSTANDING', 'PMC6022422.nxml.gz_76']"
PMC6022422.nxml.gz-167,"[['13366'], ['13375'], 'therefore', 'therefore', 'PROBABLE_UNDERSTANDING', 'PMC6022422.nxml.gz_79']"
PMC6022422.nxml.gz-178,"[['14141'], ['14156'], 'This means that', 'this_means_that', 'PROBABLE_UNDERSTANDING', 'PMC6022422.nxml.gz_84']"
PMC6022422.nxml.gz-199,"[['15402'], ['15414'], 'consequently', 'consequently', 'PROBABLE_UNDERSTANDING', 'PMC6022422.nxml.gz_93']"
PMC6022422.nxml.gz-210,"[['16269'], ['16277'], 'Based on', 'probable_understanding', 'probable_understanding', 'PMC6022422.nxml.gz_99']"
PMC6022422.nxml.gz-228,"[['16775'], ['16784'], 'Generally', 'generally', 'PROBABLE_UNDERSTANDING', 'PMC6022422.nxml.gz_103']"
PMC6022422.nxml.gz-241,"[['16966'], ['16972'], 'due to', 'probable_understanding', 'probable_understanding', 'PMC6022422.nxml.gz_104']"
PMC6022422.nxml.gz-250,"[['17166'], ['17172'], 'likely', 'likely', 'PROBABLE_UNDERSTANDING', 'PMC6022422.nxml.gz_105']"
PMC6022422.nxml.gz-324,"[['19284'], ['19289'], 'Hence', 'hence', 'PROBABLE_UNDERSTANDING', 'PMC6022422.nxml.gz_120']"
PMC6022422.nxml.gz-54,"[['2732'], ['2740'], 'probably', 'probably', 'PROBABLE_UNDERSTANDING', 'PMC6022422.nxml.gz_16']"
