PMC3424155.nxml.gz-145,"[['26223'], ['26235'], 'recent study', 'recent...study', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_166']"
PMC3424155.nxml.gz-146,"[['26264'], ['26272'], 'reported', 'reported', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_166']"
PMC3424155.nxml.gz-16,"[['1376'], ['1384'], 'observed', 'observed', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_9']"
PMC3424155.nxml.gz-161,"[['27000'], ['27010'], 'have shown', 'have_shown', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_171']"
PMC3424155.nxml.gz-163,"[['27214'], ['27222'], 'has been', 'has_been', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_172']"
PMC3424155.nxml.gz-165,"[['27308'], ['27316'], 'could be', 'could_be', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_172']"
PMC3424155.nxml.gz-167,"[['27331'], ['27340'], 'potential', 'potential', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_172']"
PMC3424155.nxml.gz-17,"[['1414'], ['1428'], 'These findings', 'these_findings', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_10']"
PMC3424155.nxml.gz-170,"[['27469'], ['27480'], 'recent data', 'recent_data', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_173']"
PMC3424155.nxml.gz-171,"[['27481'], ['27488'], 'suggest', 'suggest', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_173']"
PMC3424155.nxml.gz-185,"[['28183'], ['28189'], 'showed', 'showed', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_177']"
PMC3424155.nxml.gz-189,"[['28285'], ['28290'], 'small', 'small', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_178']"
PMC3424155.nxml.gz-190,"[['28317'], ['28322'], 'could', 'could', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_178']"
PMC3424155.nxml.gz-193,"[['28367'], ['28375'], 'observed', 'observed', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_179']"
PMC3424155.nxml.gz-203,"[['28754'], ['28764'], 'comparable', 'comparable', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_181']"
PMC3424155.nxml.gz-206,"[['28828'], ['28834'], 'models', 'incomplete_evidence', 'incomplete_evidence', 'PMC3424155.nxml.gz_182']"
PMC3424155.nxml.gz-207,"[['28840'], ['28852'], 'demonstrated', 'demonstrated', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_182']"
PMC3424155.nxml.gz-211,"[['29041'], ['29061'], 'not fully understood', 'not_fully_understood', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_182']"
PMC3424155.nxml.gz-213,"[['29081'], ['29089'], 'suggests', 'suggests', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_183']"
PMC3424155.nxml.gz-22,"[['1546'], ['1549'], 'may', 'may', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_10']"
PMC3424155.nxml.gz-232,"[['30073'], ['30076'], 'may', 'may', 'INCOMPLETE_EVIDENCE', 'PMC3424155.nxml.gz_189']"
