	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC7222517	PMC7222517_0	0	4924	""""""""""	JJ	0	1	O	None	None	None
1	PMC7222517	PMC7222517_0	0	4924	Acta	NNP	1	5	O	None	None	None
2	PMC7222517	PMC7222517_0	0	4924	Neuropathol	NNP	6	17	O	None	None	None
3	PMC7222517	PMC7222517_0	0	4924	CommunActa	NNP	18	28	O	None	None	None
4	PMC7222517	PMC7222517_0	0	4924	Neuropathol	NNP	29	40	O	None	None	None
5	PMC7222517	PMC7222517_0	0	4924	CommunActa	NNP	41	51	O	None	None	None
6	PMC7222517	PMC7222517_0	0	4924	Neuropathologica	NNP	52	68	O	None	None	None
7	PMC7222517	PMC7222517_0	0	4924	Communications2051	NNP	69	87	O	None	None	None
8	PMC7222517	PMC7222517_0	0	4924	-	:	87	88	O	None	None	None
9	PMC7222517	PMC7222517_0	0	4924	5960BioMed	CD	88	98	O	None	None	None
10	PMC7222517	PMC7222517_0	0	4924	CentralLondon32404202722251793910	NNP	99	132	O	None	None	None
11	PMC7222517	PMC7222517_0	0	4924	.	.	132	133	O	None	None	None
12	PMC7222517	PMC7222517_0	0	4924	1186	CD	133	137	O	None	None	None
13	PMC7222517	PMC7222517_0	0	4924	/	NN	137	138	O	None	None	None
14	PMC7222517	PMC7222517_0	0	4924	s40478	VBD	138	144	O	None	None	None
15	PMC7222517	PMC7222517_0	0	4924	-	:	144	145	O	None	None	None
16	PMC7222517	PMC7222517_0	0	4924	020	CD	145	148	O	None	None	None
17	PMC7222517	PMC7222517_0	0	4924	-	:	148	149	O	None	None	None
18	PMC7222517	PMC7222517_0	0	4924	00939	CD	149	154	O	None	None	None
19	PMC7222517	PMC7222517_0	0	4924	-	:	154	155	O	None	None	None
20	PMC7222517	PMC7222517_0	0	4924	0ResearchTranscriptional	CD	155	179	O	None	None	None
21	PMC7222517	PMC7222517_0	0	4924	analyses	NNS	180	188	O	None	None	None
22	PMC7222517	PMC7222517_0	0	4924	of	IN	189	191	O	None	None	None
23	PMC7222517	PMC7222517_0	0	4924	adult	NN	192	197	O	None	None	None
24	PMC7222517	PMC7222517_0	0	4924	and	CC	198	201	O	None	None	None
25	PMC7222517	PMC7222517_0	0	4924	pediatric	JJ	202	211	O	None	None	None
26	PMC7222517	PMC7222517_0	0	4924	adamantinomatous	JJ	212	228	O	None	None	None
27	PMC7222517	PMC7222517_0	0	4924	craniopharyngioma	NN	229	246	O	None	None	None
28	PMC7222517	PMC7222517_0	0	4924	reveals	NNS	247	254	O	None	None	None
29	PMC7222517	PMC7222517_0	0	4924	similar	JJ	255	262	O	None	None	None
30	PMC7222517	PMC7222517_0	0	4924	expression	NN	263	273	O	None	None	None
31	PMC7222517	PMC7222517_0	0	4924	signatures	NNS	274	284	O	None	None	None
32	PMC7222517	PMC7222517_0	0	4924	regarding	VBG	285	294	O	None	None	None
33	PMC7222517	PMC7222517_0	0	4924	potential	JJ	295	304	O	None	None	None
34	PMC7222517	PMC7222517_0	0	4924	therapeutic	JJ	305	316	O	None	None	None
35	PMC7222517	PMC7222517_0	0	4924	targetshttp	NN	317	328	O	None	None	None
36	PMC7222517	PMC7222517_0	0	4924	://	NNP	328	331	O	None	None	None
37	PMC7222517	PMC7222517_0	0	4924	orcid	NN	331	336	O	None	None	None
38	PMC7222517	PMC7222517_0	0	4924	.	.	336	337	O	None	None	None
39	PMC7222517	PMC7222517_0	0	4924	org	NN	337	340	O	None	None	None
40	PMC7222517	PMC7222517_0	0	4924	/	NN	340	341	O	None	None	None
41	PMC7222517	PMC7222517_0	0	4924	0000	CD	341	345	O	None	None	None
42	PMC7222517	PMC7222517_0	0	4924	-	:	345	346	O	None	None	None
43	PMC7222517	PMC7222517_0	0	4924	0001	CD	346	350	O	None	None	None
44	PMC7222517	PMC7222517_0	0	4924	-	:	350	351	O	None	None	None
45	PMC7222517	PMC7222517_0	0	4924	7359	CD	351	355	O	None	None	None
46	PMC7222517	PMC7222517_0	0	4924	-	:	355	356	O	None	None	None
47	PMC7222517	PMC7222517_0	0	4924	6608PrinceEricEric	CD	356	374	O	None	None	None
48	PMC7222517	PMC7222517_0	0	4924	.	.	374	375	O	None	None	None
49	PMC7222517	PMC7222517_0	0	4924	Prince	NN	375	381	O	None	None	None
50	PMC7222517	PMC7222517_0	0	4924	@	JJ	381	382	O	None	None	None
51	PMC7222517	PMC7222517_0	0	4924	CUAnschutz	NNP	382	392	O	None	None	None
52	PMC7222517	PMC7222517_0	0	4924	.	.	392	393	O	None	None	None
53	PMC7222517	PMC7222517_0	0	4924	edu12WhelanRos3DonsonAndrew24StaulcupSusan1HengartnerAstrid12VijmasiTrinka12AgwuChibueze5LilleheiKevin	NN	393	495	O	None	None	None
54	PMC7222517	PMC7222517_0	0	4924	O	NNP	496	497	O	None	None	None
55	PMC7222517	PMC7222517_0	0	4924	.	.	497	498	O	None	None	None
56	PMC7222517	PMC7222517_0	0	4924	3ForemanNicholas	CD	498	514	O	None	None	None
57	PMC7222517	PMC7222517_0	0	4924	K	NNP	515	516	O	None	None	None
58	PMC7222517	PMC7222517_0	0	4924	.	.	516	517	O	None	None	None
59	PMC7222517	PMC7222517_0	0	4924	24JohnstonJames	CD	517	532	O	None	None	None
60	PMC7222517	PMC7222517_0	0	4924	M	NNP	533	534	O	None	None	None
61	PMC7222517	PMC7222517_0	0	4924	.	.	534	535	O	None	None	None
62	PMC7222517	PMC7222517_0	0	4924	6MassimiLuca78AndersonRichard	CD	535	564	O	None	None	None
63	PMC7222517	PMC7222517_0	0	4924	C	NNP	565	566	O	None	None	None
64	PMC7222517	PMC7222517_0	0	4924	.	.	566	567	O	None	None	None
65	PMC7222517	PMC7222517_0	0	4924	E	NNP	568	569	O	None	None	None
66	PMC7222517	PMC7222517_0	0	4924	.	.	569	570	O	None	None	None
67	PMC7222517	PMC7222517_0	0	4924	9SouweidaneMark	CD	570	585	O	None	None	None
68	PMC7222517	PMC7222517_0	0	4924	M	NNP	586	587	O	None	None	None
69	PMC7222517	PMC7222517_0	0	4924	.	.	587	588	O	None	None	None
70	PMC7222517	PMC7222517_0	0	4924	1011NaftelRobert	CD	588	604	O	None	None	None
71	PMC7222517	PMC7222517_0	0	4924	P	NNP	605	606	O	None	None	None
72	PMC7222517	PMC7222517_0	0	4924	.	.	606	607	O	None	None	None
73	PMC7222517	PMC7222517_0	0	4924	12LimbrickDavid	CD	607	622	O	None	None	None
74	PMC7222517	PMC7222517_0	0	4924	D	NNP	623	624	O	None	None	None
75	PMC7222517	PMC7222517_0	0	4924	.	.	624	625	O	None	None	None
76	PMC7222517	PMC7222517_0	0	4924	1314GrantGerald15NiaziToba	CD	625	651	O	None	None	None
77	PMC7222517	PMC7222517_0	0	4924	N	NNP	652	653	O	None	None	None
78	PMC7222517	PMC7222517_0	0	4924	.	.	653	654	O	None	None	None
79	PMC7222517	PMC7222517_0	0	4924	16DudleyRoy17KilburnLindsay1819JacksonEric	CD	654	696	O	None	None	None
80	PMC7222517	PMC7222517_0	0	4924	M	NNP	697	698	O	None	None	None
81	PMC7222517	PMC7222517_0	0	4924	.	.	698	699	O	None	None	None
82	PMC7222517	PMC7222517_0	0	4924	20JalloGeorge	CD	699	712	O	None	None	None
83	PMC7222517	PMC7222517_0	0	4924	I	PRP	713	714	O	None	None	None
84	PMC7222517	PMC7222517_0	0	4924	.	.	714	715	O	None	None	None
85	PMC7222517	PMC7222517_0	0	4924	21GinnKevin22SmithAmy23ChernJoshua	CD	715	749	O	None	None	None
86	PMC7222517	PMC7222517_0	0	4924	J	NNP	750	751	O	None	None	None
87	PMC7222517	PMC7222517_0	0	4924	.	.	751	752	O	None	None	None
88	PMC7222517	PMC7222517_0	0	4924	2425LeeAmy2627DrapeauAnnie28KriegerMark	CD	752	791	O	None	None	None
89	PMC7222517	PMC7222517_0	0	4924	D	NNP	792	793	O	None	None	None
90	PMC7222517	PMC7222517_0	0	4924	.	.	793	794	O	None	None	None
91	PMC7222517	PMC7222517_0	0	4924	29HandlerMichael	CD	794	810	O	None	None	None
92	PMC7222517	PMC7222517_0	0	4924	H	NNP	811	812	O	None	None	None
93	PMC7222517	PMC7222517_0	0	4924	.	.	812	813	O	None	None	None
94	PMC7222517	PMC7222517_0	0	4924	1HankinsonTodd	CD	813	827	O	None	None	None
95	PMC7222517	PMC7222517_0	0	4924	C	NNP	828	829	O	None	None	None
96	PMC7222517	PMC7222517_0	0	4924	.	.	829	830	O	None	None	None
97	PMC7222517	PMC7222517_0	0	4924	12on	CD	830	834	O	None	None	None
98	PMC7222517	PMC7222517_0	0	4924	behalf	NN	835	841	O	None	None	None
99	PMC7222517	PMC7222517_0	0	4924	of	IN	842	844	O	None	None	None
100	PMC7222517	PMC7222517_0	0	4924	the	DT	845	848	O	None	None	None
101	PMC7222517	PMC7222517_0	0	4924	Advancing	NNP	849	858	O	None	None	None
102	PMC7222517	PMC7222517_0	0	4924	Treatment	NNP	859	868	O	None	None	None
103	PMC7222517	PMC7222517_0	0	4924	for	IN	869	872	O	None	None	None
104	PMC7222517	PMC7222517_0	0	4924	Pediatric	NNP	873	882	O	None	None	None
105	PMC7222517	PMC7222517_0	0	4924	Craniopharyngioma	NNP	883	900	O	None	None	None
106	PMC7222517	PMC7222517_0	0	4924	Consortium1grid	NNP	901	916	O	None	None	None
107	PMC7222517	PMC7222517_0	0	4924	.	.	916	917	O	None	None	None
108	PMC7222517	PMC7222517_0	0	4924	413957	CD	917	923	O	None	None	None
109	PMC7222517	PMC7222517_0	0	4924	.	.	923	924	O	None	None	None
110	PMC7222517	PMC7222517_0	0	4924	d0000	NN	924	929	O	None	None	None
111	PMC7222517	PMC7222517_0	0	4924	0001	CD	930	934	O	None	None	None
112	PMC7222517	PMC7222517_0	0	4924	0690	CD	935	939	O	None	None	None
113	PMC7222517	PMC7222517_0	0	4924	7621Division	CD	940	952	O	None	None	None
114	PMC7222517	PMC7222517_0	0	4924	of	IN	953	955	O	None	None	None
115	PMC7222517	PMC7222517_0	0	4924	Pediatric	NNP	956	965	O	None	None	None
116	PMC7222517	PMC7222517_0	0	4924	Neurosurgery	NNP	966	978	O	None	None	None
117	PMC7222517	PMC7222517_0	0	4924	,	,	978	979	O	None	None	None
118	PMC7222517	PMC7222517_0	0	4924	Children	NNP	980	988	O	None	None	None
119	PMC7222517	PMC7222517_0	0	4924	<	NNP	988	989	O	None	None	None
120	PMC7222517	PMC7222517_0	0	4924	U	NNP	989	990	O	None	None	None
121	PMC7222517	PMC7222517_0	0	4924	+	NNP	990	991	O	None	None	None
122	PMC7222517	PMC7222517_0	0	4924	2019	CD	991	995	O	None	None	None
123	PMC7222517	PMC7222517_0	0	4924	>	NNP	995	996	O	None	None	None
124	PMC7222517	PMC7222517_0	0	4924	s	VBD	996	997	O	None	None	None
125	PMC7222517	PMC7222517_0	0	4924	Hospital	NNP	998	1006	O	None	None	None
126	PMC7222517	PMC7222517_0	0	4924	Colorado	NNP	1007	1015	O	None	None	None
127	PMC7222517	PMC7222517_0	0	4924	,	,	1015	1016	O	None	None	None
128	PMC7222517	PMC7222517_0	0	4924	Aurora	NNP	1017	1023	O	None	None	None
129	PMC7222517	PMC7222517_0	0	4924	,	,	1023	1024	O	None	None	None
130	PMC7222517	PMC7222517_0	0	4924	USA	NNP	1025	1028	O	None	None	None
131	PMC7222517	PMC7222517_0	0	4924	2Morgan	CD	1029	1036	O	None	None	None
132	PMC7222517	PMC7222517_0	0	4924	Adams	NNP	1037	1042	O	None	None	None
133	PMC7222517	PMC7222517_0	0	4924	Foundation	NNP	1043	1053	O	None	None	None
134	PMC7222517	PMC7222517_0	0	4924	Pediatric	NNP	1054	1063	O	None	None	None
135	PMC7222517	PMC7222517_0	0	4924	Brain	NNP	1064	1069	O	None	None	None
136	PMC7222517	PMC7222517_0	0	4924	Tumor	NNP	1070	1075	O	None	None	None
137	PMC7222517	PMC7222517_0	0	4924	Research	NNP	1076	1084	O	None	None	None
138	PMC7222517	PMC7222517_0	0	4924	Program	NNP	1085	1092	O	None	None	None
139	PMC7222517	PMC7222517_0	0	4924	,	,	1092	1093	O	None	None	None
140	PMC7222517	PMC7222517_0	0	4924	Aurora	NNP	1094	1100	O	None	None	None
141	PMC7222517	PMC7222517_0	0	4924	,	,	1100	1101	O	None	None	None
142	PMC7222517	PMC7222517_0	0	4924	USA	NNP	1102	1105	O	None	None	None
143	PMC7222517	PMC7222517_0	0	4924	3grid	CD	1106	1111	O	None	None	None
144	PMC7222517	PMC7222517_0	0	4924	.	.	1111	1112	O	None	None	None
145	PMC7222517	PMC7222517_0	0	4924	430503	CD	1112	1118	O	None	None	None
146	PMC7222517	PMC7222517_0	0	4924	.	.	1118	1119	O	None	None	None
147	PMC7222517	PMC7222517_0	0	4924	10000	CD	1119	1124	O	None	None	None
148	PMC7222517	PMC7222517_0	0	4924	0001	CD	1125	1129	O	None	None	None
149	PMC7222517	PMC7222517_0	0	4924	0703	CD	1130	1134	O	None	None	None
150	PMC7222517	PMC7222517_0	0	4924	675XDepartment	CD	1135	1149	O	None	None	None
151	PMC7222517	PMC7222517_0	0	4924	of	IN	1150	1152	O	None	None	None
152	PMC7222517	PMC7222517_0	0	4924	Neurosurgery	NNP	1153	1165	O	None	None	None
153	PMC7222517	PMC7222517_0	0	4924	,	,	1165	1166	O	None	None	None
154	PMC7222517	PMC7222517_0	0	4924	University	NNP	1167	1177	O	None	None	None
155	PMC7222517	PMC7222517_0	0	4924	of	IN	1178	1180	O	None	None	None
156	PMC7222517	PMC7222517_0	0	4924	Colorado	NNP	1181	1189	O	None	None	None
157	PMC7222517	PMC7222517_0	0	4924	School	NNP	1190	1196	O	None	None	None
158	PMC7222517	PMC7222517_0	0	4924	of	IN	1197	1199	O	None	None	None
159	PMC7222517	PMC7222517_0	0	4924	Medicine	NNP	1200	1208	O	None	None	None
160	PMC7222517	PMC7222517_0	0	4924	,	,	1208	1209	O	None	None	None
161	PMC7222517	PMC7222517_0	0	4924	Aurora	NNP	1210	1216	O	None	None	None
