SO_2021_10_26_Instance_4	PMC1626394.nxml.gz_17	2594 2607	mitochondrial	SO_biobert_model_local_PMC1626394.nxml.gz
SO_2021_10_26_Instance_7	PMC2265032.nxml.gz_10	2103 2107	gene	SO_biobert_model_local_PMC2265032.nxml.gz
SO_2021_10_26_Instance_9	PMC2396486.nxml.gz_1	296 303	genomic	SO_biobert_model_local_PMC2396486.nxml.gz
SO_2021_10_26_Instance_10	PMC2396486.nxml.gz_28	4393 4400	genomic	SO_biobert_model_local_PMC2396486.nxml.gz
SO_2021_10_26_Instance_11	PMC2396486.nxml.gz_91	15435 15442	isoform	SO_biobert_model_local_PMC2396486.nxml.gz
SO_2021_10_26_Instance_12	PMC2396486.nxml.gz_119	21364 21372	genomics	SO_biobert_model_local_PMC2396486.nxml.gz
SO_2021_10_26_Instance_13	PMC2396486.nxml.gz_119	21374 21378	gene	SO_biobert_model_local_PMC2396486.nxml.gz
SO_2021_10_26_Instance_16	PMC2672462.nxml.gz_21	3957 3964	genetic	SO_biobert_model_local_PMC2672462.nxml.gz
SO_2021_10_26_Instance_17	PMC2672462.nxml.gz_126	24809 24813	gene	SO_biobert_model_local_PMC2672462.nxml.gz
SO_2021_10_26_Instance_19	PMC2722408.nxml.gz_22	3253 3257	gene	SO_biobert_model_local_PMC2722408.nxml.gz
SO_2021_10_26_Instance_20	PMC2722408.nxml.gz_74	12038 12043	Genes	SO_biobert_model_local_PMC2722408.nxml.gz
SO_2021_10_26_Instance_21	PMC2722408.nxml.gz_76	12372 12379	Genetic	SO_biobert_model_local_PMC2722408.nxml.gz
SO_2021_10_26_Instance_22	PMC2722408.nxml.gz_77	12670 12677	genetic	SO_biobert_model_local_PMC2722408.nxml.gz
SO_2021_10_26_Instance_23	PMC2722408.nxml.gz_80	13198 13202	gene	SO_biobert_model_local_PMC2722408.nxml.gz
SO_2021_10_26_Instance_26	PMC2727050.nxml.gz_89	17323 17328	genes	SO_biobert_model_local_PMC2727050.nxml.gz
SO_2021_10_26_Instance_30	PMC2889879.nxml.gz_17	2789 2796	Genetic	SO_biobert_model_local_PMC2889879.nxml.gz
SO_2021_10_26_Instance_31	PMC2889879.nxml.gz_22	3529 3536	genetic	SO_biobert_model_local_PMC2889879.nxml.gz
SO_2021_10_26_Instance_32	PMC2889879.nxml.gz_23	3662 3669	genetic	SO_biobert_model_local_PMC2889879.nxml.gz
