PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
PMC7074265.nxml.gz	0	['The Inflammatory Milieu of Adamantinomatous Craniopharyngioma and Its Implications for Treatment\n\nAbstract\n\nPediatric Adamantinomatous Craniopharyngiomas (ACPs) are histologically benign brain tumors that often follow an aggressive clinical course.']	(0, 248)
PMC7074265.nxml.gz	1	['Their suprasellar location leaves them in close proximity to critical neurological and vascular structures and often results in significant neuroendocrine morbidity.']	(249, 414)
PMC7074265.nxml.gz	2	['Current treatment paradigms, involving surgical resection and radiotherapy, confer significant morbidity to patients and there is an obvious need to discover effective and safe alternative treatments.']	(415, 615)
PMC7074265.nxml.gz	3	['Recent years have witnessed significant efforts to fully detail the genomic, transcriptomic and proteomic make-up of these tumors, in an attempt to identify potential therapeutic targets.']	(616, 803)
PMC7074265.nxml.gz	4	['These studies have resulted in ever mounting evidence that inflammatory processes and the immune response play a critical role in the pathogenesis of both the solid and cystic portion of ACPs.']	(804, 996)
PMC7074265.nxml.gz	5	['Several inflammatory and immune markers have been identified in both the cyst fluid and solid tumor tissue of ACP.']	(997, 1111)
PMC7074265.nxml.gz	6	['Due to the existence of effective agents that target them, IL-6 and immune checkpoint inhibitors seem to present the most likely immediate candidates for clinical trials of targeted immune-related therapy in ACP.']	(1112, 1324)
PMC7074265.nxml.gz	7	['If effective, such agents may result in a paradigm shift in treatment that ultimately reduces morbidity and results in better outcomes for our patients.']	(1325, 1477)
PMC7074265.nxml.gz	8	['1.']	(1479, 1481)
PMC7074265.nxml.gz	9	['Introduction\n\nPediatric Adamantinomatous Craniopharyngiomas (ACPs) are histologically benign brain tumors that often follow an aggressive clinical course.']	(1482, 1636)
PMC7074265.nxml.gz	10	['The tumors are most commonly centered in the suprasellar region and are believed to develop from remnants of Rathkeâ\x80\x99s pouch.']	(1637, 1763)
PMC7074265.nxml.gz	11	['Radiologically and grossly, these tumors appear as mixed solid and cystic lesions often with areas of calcification (Figure 1).']	(1764, 1891)
PMC7074265.nxml.gz	12	['Histologically, ACPs are heterogeneous tumors of epithelial origin.']	(1892, 1959)
PMC7074265.nxml.gz	13	['The classic features consist of palisading epithelium, stellate cells, nodules of anuclear â\x80\x9cghost cellsâ\x80\x9d and â\x80\x9cwet keratinâ\x80\x9d as well as large areas of regressive changes (i.e., inflammation and calcifications, multinucleated giant cells, hemosiderin deposits, cholesterol clefts) (Figure 2).']	(1960, 2257)
PMC7074265.nxml.gz	14	['Their proximity to critical neurological and vascular structures often confers significant neuroendocrine morbidity on patients.']	(2258, 2386)
PMC7074265.nxml.gz	15	['Surgery remains the primary treatment strategy, but can result in significant morbidity, specifically damage to the hypothalamus, pituitary and optic apparatus, which results in long-term sequelae that can greatly impact a childâ\x80\x99s quality of life.']	(2387, 2636)
PMC7074265.nxml.gz	16	['In an era of personalized medicine and targeted therapies, ACP remains resistant to such advances.']	(2637, 2735)
PMC7074265.nxml.gz	17	['On the other hand, recent case reports of the response of papillary craniopharyngioma, a different tumor of the suprasellar region, to BRAF inhibitors have elucidated the great potential of targeted therapies in treating these tumors.']	(2736, 2970)
PMC7074265.nxml.gz	18	['As a result, recent years have witnessed significant efforts to fully elucidate the genomic, transcriptomic and proteomic make-up of ACP in an attempt to identify potential therapeutic targets for the treatment of this disease.']	(2971, 3198)
PMC7074265.nxml.gz	19	['1.1.']	(3200, 3204)
PMC7074265.nxml.gz	20	['The Central Role of WNT Pathway Overactivation in the Tumorigenesis of ACP\n\nThe one consistent genomic mutation that appears to be present in the majority, if not all, of ACPs is an activation mutation in the CTNNB1 gene of the WNT/wingless pathway.']	(3205, 3454)
PMC7074265.nxml.gz	21	['Most commonly this involves a point mutation in exon 3 of the CTNNB1 gene.']	(3455, 3529)
PMC7074265.nxml.gz	22	['A number of studies have demonstrated various different mutations, most commonly involving serine or threonine phosphorylation sites encoded by exon 3.']	(3530, 3681)
PMC7074265.nxml.gz	23	['Ordinarily, and in the absence of WNT activation, beta-catenin is marked for destruction by a destruction complex consisting of AXIN, glycogen synthase kinase-3Î² (GSK3Î²), and APC, among other proteins.']	(3682, 3885)
PMC7074265.nxml.gz	24	['This complex binds to and phosphorylates specific residues encoded by exon 3 of CTNNB1 and results in degradation of the protein.']	(3886, 4015)
PMC7074265.nxml.gz	25	['In the presence of WNT activation, WNT ligands bind to Frizzled and its co-receptor LRP (Low-density lipoprotein receptor-related protein) at the cell membrane.']	(4016, 4176)
PMC7074265.nxml.gz	26	['This in turn leads to the activation of Disheveled (DVL) and the binding of AXIN at the cell membrane.']	(4177, 4279)
PMC7074265.nxml.gz	27	['Consequently, the normal destruction complex is broken up and beta-catenin is released.']	(4280, 4367)
PMC7074265.nxml.gz	28	['Eventually this stabilized beta-catenin will accumulate in first the cytoplasm, and subsequently the nucleus resulting in the expression of WNT pathway target genes.']	(4368, 4533)
PMC7074265.nxml.gz	29	['In the pathological state present in ACP, the various point mutations prevent the binding of GSK3Î² to beta-catenin, and the subsequent phosphorylation of the serine and threonine residues.']	(4534, 4723)
PMC7074265.nxml.gz	30	['This results in a degradation-resistant form of beta-catenin, resulting in aberrant nuclear accumulation of the protein in certain cells within the tumor.']	(4724, 4878)
