	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END
0	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	Maternal	JJ	0	8
1	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	25	CD	9	11
2	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	(	(	11	12
3	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	OH	NNP	12	14
4	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	)	)	14	15
5	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	D	NNP	15	16
6	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	concentrations	NNS	17	31
7	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	≥	VBP	32	33
8	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	40	CD	33	35
9	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	ng	JJ	36	38
10	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	/	NNP	38	39
11	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	mL	NN	39	41
12	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	associated	VBN	42	52
13	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	with	IN	53	57
14	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	60	CD	58	60
15	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	%	NN	60	61
16	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	lower	JJR	62	67
17	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	preterm	NN	68	75
18	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	birth	NN	76	81
19	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	risk	NN	82	86
20	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	among	IN	87	92
21	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	general	JJ	93	100
22	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	obstetrical	JJ	101	112
23	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	patients	NNS	113	121
24	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	at	IN	122	124
25	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	an	DT	125	127
26	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	urban	JJ	128	133
27	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	medical	JJ	134	141
28	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	center	NN	142	148
29	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	Abstract	NNP	150	158
30	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	Background	NNP	160	170
31	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	Given	NNP	171	176
32	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	the	DT	177	180
33	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	high	JJ	181	185
34	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	rate	NN	186	190
35	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	of	IN	191	193
36	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	preterm	JJ	194	201
37	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	birth	NN	202	207
38	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	(	(	208	209
39	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	PTB	NNP	209	212
40	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	)	)	212	213
41	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	nationwide	NN	214	224
42	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	and	CC	225	228
43	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	data	NN	229	233
44	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	from	IN	234	238
45	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	RCTs	NNP	239	243
46	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	demonstrating	VBG	244	257
47	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	risk	NN	258	262
48	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	reduction	NN	263	272
49	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	with	IN	273	277
50	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	vitamin	NN	278	285
51	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	D	NNP	286	287
52	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	supplementation	NN	288	303
53	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	,	,	303	304
54	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	the	DT	305	308
55	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	Medical	NNP	309	316
56	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	University	NNP	317	327
57	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	of	IN	328	330
