NCBITaxon_2021_10_26_Instance_1	PMC1247630.nxml.gz_15	1987 1991	peas	NCBITaxon_biobert_model_local_PMC1247630.nxml.gz
NCBITaxon_2021_10_26_Instance_3	PMC1474522.nxml.gz_1	214 218	mice	NCBITaxon_biobert_model_local_PMC1474522.nxml.gz
NCBITaxon_2021_10_26_Instance_4	PMC1474522.nxml.gz_2	420 424	mice	NCBITaxon_biobert_model_local_PMC1474522.nxml.gz
NCBITaxon_2021_10_26_Instance_7	PMC1626394.nxml.gz_17	2391 2397	Animal	NCBITaxon_biobert_model_local_PMC1626394.nxml.gz
NCBITaxon_2021_10_26_Instance_9	PMC2009866.nxml.gz_5	971 976	sheep	NCBITaxon_biobert_model_local_PMC2009866.nxml.gz
NCBITaxon_2021_10_26_Instance_10	PMC2009866.nxml.gz_5	1116 1123	spinach	NCBITaxon_biobert_model_local_PMC2009866.nxml.gz
NCBITaxon_2021_10_26_Instance_12	PMC2265032.nxml.gz_1	187 198	individuals	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_13	PMC2265032.nxml.gz_2	240 244	Rats	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_14	PMC2265032.nxml.gz_8	1533 1538	birds	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_15	PMC2265032.nxml.gz_8	1591 1597	Arctic	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_16	PMC2265032.nxml.gz_8	1598 1604	tundra	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_17	PMC2265032.nxml.gz_8	1611 1612;1612 1613;1614 1618;1619 1627	E . coli bacteria	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_18	PMC2265032.nxml.gz_9	1678 1683	birds	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_19	PMC2265032.nxml.gz_9	1804 1810	humans	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_20	PMC2265032.nxml.gz_10	1889 1894	birds	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_21	PMC2265032.nxml.gz_10	1926 1934	bacteria	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_22	PMC2265032.nxml.gz_10	1962 1969	species	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_23	PMC2265032.nxml.gz_10	1973 1978	birds	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_24	PMC2265032.nxml.gz_10	2128 2136	microbes	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_25	PMC2265032.nxml.gz_11	2166 2175	sandpiper	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_26	PMC2265032.nxml.gz_11	2195 2202	species	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_27	PMC2265032.nxml.gz_13	2798 2803	human	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_28	PMC2265032.nxml.gz_21	3849 3856	Asiatic	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_29	PMC2265032.nxml.gz_21	3857 3861	toad	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_30	PMC2265032.nxml.gz_21	3864 3868;3869 3880	Bufo gargarizans	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_31	PMC2265032.nxml.gz_24	4164 4169	mouse	NCBITaxon_biobert_model_local_PMC2265032.nxml.gz
NCBITaxon_2021_10_26_Instance_33	PMC2396486.nxml.gz_0	47 51	Rats	NCBITaxon_biobert_model_local_PMC2396486.nxml.gz
NCBITaxon_2021_10_26_Instance_34	PMC2396486.nxml.gz_1	209 215	Animal	NCBITaxon_biobert_model_local_PMC2396486.nxml.gz
NCBITaxon_2021_10_26_Instance_35	PMC2396486.nxml.gz_1	359 362	rat	NCBITaxon_biobert_model_local_PMC2396486.nxml.gz
NCBITaxon_2021_10_26_Instance_36	PMC2396486.nxml.gz_2	521 525	rats	NCBITaxon_biobert_model_local_PMC2396486.nxml.gz
NCBITaxon_2021_10_26_Instance_37	PMC2396486.nxml.gz_2	583 587	rats	NCBITaxon_biobert_model_local_PMC2396486.nxml.gz
NCBITaxon_2021_10_26_Instance_38	PMC2396486.nxml.gz_11	1692 1698	animal	NCBITaxon_biobert_model_local_PMC2396486.nxml.gz
