PMC4973215.nxml.gz-1027,"[['14715'], ['14719'], 'than', 'than', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_78']"
PMC4973215.nxml.gz-1029,"[['15146'], ['15150'], 'than', 'than', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_79']"
PMC4973215.nxml.gz-158,"[['1381'], ['1384'], 'but', 'but', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_8']"
PMC4973215.nxml.gz-160,"[['14098'], ['14101'], 'but', 'but', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_74']"
PMC4973215.nxml.gz-192,"[['12788'], ['12799'], 'conflicting', 'conflicting', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_67']"
PMC4973215.nxml.gz-194,"[['18365'], ['18376'], 'conflicting', 'conflicting', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_94']"
PMC4973215.nxml.gz-238,"[['9624'], ['9632'], 'differed', 'alternative_options_controversy', 'alternative_options_controversy', 'PMC4973215.nxml.gz_50']"
PMC4973215.nxml.gz-240,"[['14429'], ['14437'], 'differed', 'alternative_options_controversy', 'alternative_options_controversy', 'PMC4973215.nxml.gz_76']"
PMC4973215.nxml.gz-242,"[['15351'], ['15361'], 'difference', 'difference', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_80']"
PMC4973215.nxml.gz-383,"[['2712'], ['2719'], 'However', 'however', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_11']"
PMC4973215.nxml.gz-38481,"[['11742'], ['11748'], 'debate', 'debate', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_62']"
PMC4973215.nxml.gz-385,"[['3714'], ['3721'], 'However', 'however', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_14']"
PMC4973215.nxml.gz-387,"[['12362'], ['12369'], 'however', 'however', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_65']"
PMC4973215.nxml.gz-389,"[['13575'], ['13582'], 'However', 'however', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_71']"
PMC4973215.nxml.gz-399,"[['15534'], ['15536'], 'if', 'if', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_80']"
PMC4973215.nxml.gz-415,"[['14185'], ['14199'], 'In contrast to', 'in_contrast_to', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_75']"
PMC4973215.nxml.gz-417,"[['16902'], ['16916'], 'in contrast to', 'in_contrast_to', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_85']"
PMC4973215.nxml.gz-5183,"[['3437'], ['3445'], 'Although', 'alternative_options_controversy', 'alternative_options_controversy', 'PMC4973215.nxml.gz_13']"
PMC4973215.nxml.gz-5192,"[['10913'], ['10921'], 'Although', 'alternative_options_controversy', 'alternative_options_controversy', 'PMC4973215.nxml.gz_58']"
PMC4973215.nxml.gz-5194,"[['11649'], ['11657'], 'Although', 'alternative_options_controversy', 'alternative_options_controversy', 'PMC4973215.nxml.gz_62']"
PMC4973215.nxml.gz-5196,"[['12756'], ['12764'], 'Although', 'alternative_options_controversy', 'alternative_options_controversy', 'PMC4973215.nxml.gz_67']"
PMC4973215.nxml.gz-5218,"[['17058'], ['17065'], 'but not', 'alternative_options_controversy', 'alternative_options_controversy', 'PMC4973215.nxml.gz_86']"
PMC4973215.nxml.gz-691,"[['15139'], ['15145'], 'rather', 'rather', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_79']"
PMC4973215.nxml.gz-993,"[['8817'], ['8824'], 'whereas', 'whereas', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_45']"
PMC4973215.nxml.gz-995,"[['9360'], ['9367'], 'whereas', 'whereas', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_48']"
PMC4973215.nxml.gz-997,"[['14557'], ['14564'], 'whereas', 'whereas', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4973215.nxml.gz_77']"
