PMC3075531.nxml.gz-139,"[['9744'], ['9748'], 'poor', 'important_consideration', 'important_consideration', 'PMC3075531.nxml.gz_43']"
PMC3075531.nxml.gz-161,"[['10661'], ['10667'], 'better', 'important_consideration', 'important_consideration', 'PMC3075531.nxml.gz_43']"
PMC3075531.nxml.gz-163,"[['10719'], ['10729'], 'importance', 'importance', 'IMPORTANT_CONSIDERATION', 'PMC3075531.nxml.gz_44']"
PMC3075531.nxml.gz-171,"[['10971'], ['10980'], 'relevance', 'relevance', 'IMPORTANT_CONSIDERATION', 'PMC3075531.nxml.gz_45']"
PMC3075531.nxml.gz-193,"[['12028'], ['12037'], 'important', 'important', 'IMPORTANT_CONSIDERATION', 'PMC3075531.nxml.gz_48']"
PMC3075531.nxml.gz-203,"[['12912'], ['12917'], 'major', 'major', 'IMPORTANT_CONSIDERATION', 'PMC3075531.nxml.gz_49']"
PMC3075531.nxml.gz-243,"[['14550'], ['14559'], 'important', 'important', 'IMPORTANT_CONSIDERATION', 'PMC3075531.nxml.gz_55']"
PMC3075531.nxml.gz-266,"[['15039'], ['15051'], 'implications', 'implications', 'IMPORTANT_CONSIDERATION', 'PMC3075531.nxml.gz_58']"
PMC3075531.nxml.gz-284,"[['15708'], ['15712'], 'safe', 'safe', 'IMPORTANT_CONSIDERATION', 'PMC3075531.nxml.gz_58']"
PMC3075531.nxml.gz-288,"[['15778'], ['15784'], 'safety', 'safety', 'IMPORTANT_CONSIDERATION', 'PMC3075531.nxml.gz_58']"
PMC3075531.nxml.gz-319,"[['16618'], ['16622'], 'need', 'important_consideration', 'important_consideration', 'PMC3075531.nxml.gz_61']"
PMC3075531.nxml.gz-322,"[['16657'], ['16664'], 'problem', 'important_consideration', 'important_consideration', 'PMC3075531.nxml.gz_61']"
PMC3075531.nxml.gz-331,"[['16871'], ['16880'], 'necessary', 'necessary', 'IMPORTANT_CONSIDERATION', 'PMC3075531.nxml.gz_62']"
PMC3075531.nxml.gz-334,"[['16929'], ['16935'], 'safety', 'safety', 'IMPORTANT_CONSIDERATION', 'PMC3075531.nxml.gz_62']"
PMC3075531.nxml.gz-33856,"[['17593'], ['17600'], 'benefit', 'important_consideration', 'important_consideration', 'PMC3075531.nxml.gz_65']"
PMC3075531.nxml.gz-342,"[['17224'], ['17250'], 'unforeseen adverse effects', 'important_consideration', 'important_consideration', 'PMC3075531.nxml.gz_63']"
PMC3075531.nxml.gz-344,"[['17254'], ['17263'], 'mandatory', 'mandatory', 'IMPORTANT_CONSIDERATION', 'PMC3075531.nxml.gz_63']"
PMC3075531.nxml.gz-42,"[['2361'], ['2370'], 'important', 'important', 'IMPORTANT_CONSIDERATION', 'PMC3075531.nxml.gz_10']"
PMC3075531.nxml.gz-84,"[['4144'], ['4151'], 'optimal', 'optimal', 'IMPORTANT_CONSIDERATION', 'PMC3075531.nxml.gz_12']"
PMC3075531.nxml.gz-91,"[['4477'], ['4484'], 'must be', 'must...be', 'IMPORTANT_CONSIDERATION', 'PMC3075531.nxml.gz_12']"
