PMC4992225.nxml.gz-109,"[['6324'], ['6332'], 'problems', 'important_consideration', 'important_consideration', 'PMC4992225.nxml.gz_44']"
PMC4992225.nxml.gz-114,"[['6529'], ['6537'], 'required', 'required', 'IMPORTANT_CONSIDERATION', 'PMC4992225.nxml.gz_47']"
PMC4992225.nxml.gz-162,"[['10880'], ['10891'], 'reliability', 'important_consideration', 'important_consideration', 'PMC4992225.nxml.gz_77']"
PMC4992225.nxml.gz-163,"[['10896'], ['10904'], 'validity', 'validity', 'IMPORTANT_CONSIDERATION', 'PMC4992225.nxml.gz_77']"
PMC4992225.nxml.gz-183,"[['12125'], ['12138'], 'insufficiency', 'important_consideration', 'important_consideration', 'PMC4992225.nxml.gz_88']"
PMC4992225.nxml.gz-259,"[['26314'], ['26325'], 'Considering', 'important_consideration', 'important_consideration', 'PMC4992225.nxml.gz_184']"
PMC4992225.nxml.gz-265,"[['26525'], ['26539'], 'global problem', 'important_consideration', 'important_consideration', 'PMC4992225.nxml.gz_185']"
PMC4992225.nxml.gz-294,"[['29077'], ['29088'], 'Considering', 'important_consideration', 'important_consideration', 'PMC4992225.nxml.gz_208']"
PMC4992225.nxml.gz-3,"[['200'], ['210'], 'considered', 'important_consideration', 'important_consideration', 'PMC4992225.nxml.gz_0']"
PMC4992225.nxml.gz-30,"[['2351'], ['2358'], 'at risk', 'at_risk', 'IMPORTANT_CONSIDERATION', 'PMC4992225.nxml.gz_16']"
PMC4992225.nxml.gz-328,"[['31468'], ['31484'], 'worth mentioning', 'important_consideration', 'important_consideration', 'PMC4992225.nxml.gz_226']"
PMC4992225.nxml.gz-33,"[['2754'], ['2764'], 'considered', 'important_consideration', 'important_consideration', 'PMC4992225.nxml.gz_20']"
PMC4992225.nxml.gz-35,"[['2770'], ['2783'], 'public health', 'public_health', 'IMPORTANT_CONSIDERATION', 'PMC4992225.nxml.gz_20']"
PMC4992225.nxml.gz-36,"[['2784'], ['2789'], 'issue', 'important_consideration', 'important_consideration', 'PMC4992225.nxml.gz_20']"
PMC4992225.nxml.gz-4,"[['216'], ['229'], 'public health', 'public_health', 'IMPORTANT_CONSIDERATION', 'PMC4992225.nxml.gz_0']"
PMC4992225.nxml.gz-43,"[['2938'], ['2945'], 'serious', 'serious', 'IMPORTANT_CONSIDERATION', 'PMC4992225.nxml.gz_21']"
PMC4992225.nxml.gz-433,"[['35994'], ['36001'], 'serious', 'serious', 'IMPORTANT_CONSIDERATION', 'PMC4992225.nxml.gz_262']"
PMC4992225.nxml.gz-44,"[['2946'], ['2959'], 'complications', 'important_consideration', 'important_consideration', 'PMC4992225.nxml.gz_21']"
PMC4992225.nxml.gz-455,"[['36823'], ['36831'], 'critical', 'critical', 'IMPORTANT_CONSIDERATION', 'PMC4992225.nxml.gz_268']"
PMC4992225.nxml.gz-461,"[['37025'], ['37032'], 'worried', 'important_consideration', 'important_consideration', 'PMC4992225.nxml.gz_270']"
PMC4992225.nxml.gz-463,"[['37110'], ['37117'], 'concern', 'important_consideration', 'important_consideration', 'PMC4992225.nxml.gz_271']"
PMC4992225.nxml.gz-49,"[['3119'], ['3126'], 'problem', 'important_consideration', 'important_consideration', 'PMC4992225.nxml.gz_23']"
PMC4992225.nxml.gz-5,"[['230'], ['235'], 'issue', 'important_consideration', 'important_consideration', 'PMC4992225.nxml.gz_0']"
PMC4992225.nxml.gz-53,"[['3233'], ['3241'], 'problems', 'important_consideration', 'important_consideration', 'PMC4992225.nxml.gz_23']"
PMC4992225.nxml.gz-76,"[['4067'], ['4077'], 'importance', 'importance', 'IMPORTANT_CONSIDERATION', 'PMC4992225.nxml.gz_30']"
PMC4992225.nxml.gz-92,"[['5563'], ['5572'], 'essential', 'essential', 'IMPORTANT_CONSIDERATION', 'PMC4992225.nxml.gz_39']"
PMC4992225.nxml.gz-95,"[['5713'], ['5722'], 'essential', 'essential', 'IMPORTANT_CONSIDERATION', 'PMC4992225.nxml.gz_40']"
