span,IGNORANCE TYPE
"Headliners: Maternal Nutrition and Child Cancer: Mother’s Pre-pregnancy Diet May Influence Child Cancer Risk\nJensen CD, Block G, Buffler P, Ma X, Selvin S, Month S. 2004.",0
"Acute lymphoblastic leukemia (ALL) is the most common childhood cancer (with 2,400 cases diagnosed each year in those under age 20) and the second most common cause of mortality in children aged 1–14.",0
Recent research has confirmed that ALL can originate in utero .,0
New findings from the NIEHS-funded Northern California Childhood Leukemia Study (NCCLS) show that the disease may originate even earlier—in the foods a woman eats before she even becomes pregnant.,0
"The effect of maternal diet on child leukemia risk has not been rigorously studied; the few studies that have been done have focused on specific dietary factors, and the results have been mixed.",0
It is the first study to capture mothers’ overall dietary patterns and relate them to child leukemia.,0
"The researchers found that the more vegetables, fruits, and proteins a woman ate, the lower the risk of her child having leukemia.",0
"Of the vegetables and fruits, carrots and cantaloupe showed the highest inverse effect, perhaps because of these foods’ high carotenoid content.",0
String beans and peas also correlated inversely with ALL risk.,0
"Among the proteins, beef and beans—both sources of the antioxidant glutathione—showed the highest inverse effect.",0
"The authors stress that dietary factors work together, and no one food should be singled out in attributing risk or benefit.",0
"Further, a cause-and-effect relationship can not be concluded from this study.",0
"However, they write, it remains prudent for women who are pregnant or think they may become pregnant to eat a diet rich in fruits and vegetables.",0
Lesions of testis and epididymis associated with prenatal diethylstilbestrol exposure.,0
The main aim was to study factors identified in a previous study as potentially causally related to cancer of the oesophagus.,0
"Other tumours (lung, stomach, breast, large bowel, larynx and pharynx) were included to distinguish findings specific for oesophageal cancer from general characteristics of cancer patients, due for example to ascertainment bias, and to verify that expected associations, such as between lung cancer and cigarette smoking, would emerge under the prevailing field conditions.",0
"The use of opium, bread and tea could not be assessed in the retrospective framework.",0
Strongly associated with risk of oesophageal cancer were low socio-economic status and low intake of fresh fruit and vegetables.,0
"The two factors each had an independent effect, and were more marked for oesophageal cancer than for the other tumours.",0
Recent nationwide shortages of low-calcium formula (LCF) suggest this problem may be widespread.,0
CYP24A1 mutations have been identified as a potential cause of IIH.,0
"To determine if IIH is occurring more commonly, de-identified, first-measured serum calcium from all infants <6 months (n=5796) measured in our laboratory, were grouped by years 2005-2007 (n=1516), 2008-2010 (n=1945) and 2011-2013 (n=2335).",0
"PTH was not elevated (median 1.0pmol/L [<0.3-3.1]), urinary calcium: creatinine ratio not suppressed (median 2.3, [0.4-9]), 25OHVitD low-normal (median 44nmol/L [17-218]) and 1,25(OH)2VitD elevated (median 232pmol/L [64-720]), in keeping with an abnormality in CYP24A1.",0
"In 7/10 infants with data available, treated with LCF for median 95 days (range 25-310), median PTH rose to 17.1pmol/L ([8.2-49.3], P=0.02) with a trend to lower 25OHVit D (median 23nmol/L [<10-108], P=0.09) despite continued high-normal calcium levels (median 2.66mmol/L [2.11-2.75]).",0
Concurrent changes in rates of hyper and hypo-calcaemia suggest antenatal vitamin D3supplementation as an aetiological factor.,0
"IIH was associated with significant morbidity, including symptomatic hypercalcaemia and nephrocalcinosis.",0
"Treatment with LCF prevented further symptomatic hypercalcaemia, but resulted in elevated PTH.",0
