PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	ONTOLOGY_CONCEPT_IDS_LIST
PMC5501061.nxml.gz	0	['Nutrition for the primary care provider\nThis book focuses on the various nutritional aspects of the current needs of the society at large and for the health practitioners.']	(0, 171)	['important_consideration', 'this', 'focuses']
PMC5501061.nxml.gz	1	["The book covers a variety of topics in a lucid manner under four distinct sections namely 'Nutrition for Health', 'Nutrition for Special Circumstances', 'Nutrition for Disease States', and 'Food Policy'."]	(172, 375)	[]
PMC5501061.nxml.gz	2	['The first section comprises 10 chapters on various aspects of nutrition such as nutrition adequacy to dietary supplements.']	(376, 498)	[]
PMC5501061.nxml.gz	3	['The second section covers the role of nutrition in pregnancy and lactation, exocrine and sports as also food allergy.']	(499, 616)	[]
PMC5501061.nxml.gz	4	['The third section has 14 chapters and covers various diseases from cardiovascular diseases to HIV/AIDS, osteoporosis, liver diseases and neurological disorders.']	(617, 777)	[]
PMC5501061.nxml.gz	5	['Further, the various chapters in the book explain the basic principles in nutrition coupled with applications in different clinical conditions.']	(778, 921)	[]
PMC5501061.nxml.gz	6	['The chapters on nutrition in pregnancy, exercise, food allergies and intolerance, etc are informative and will be a good read for students in the respective field.']	(922, 1085)	[]
PMC5501061.nxml.gz	7	['It is noteworthy that the book covers several aspects of food policies as well including food sustainability, food labelling, food industry and consumer nutrition.']	(1086, 1249)	[]
PMC5501061.nxml.gz	8	['It would have been worthwhile to include some more topics such as management of severely acute malnutrition, examples of high, low and moderate glycaemic index foods, how to read food labels (with examples), etc and also additional references for further reading would have been beneficial as the chapters are a quick guide to appraise the topic.']	(1250, 1596)	['would_have_been_worthwhile', 'would_have_been_worthwhile', 'would_have_been_worthwhile', 'would_have_been_worthwhile', 'would_have_been_beneficial', 'would_have_been_beneficial', 'would_have_been_beneficial', 'would_have_been_beneficial']
PMC5501061.nxml.gz	9	['Overall, this book will be of benefit to postgraduates in the field of nutrition, nutritionists in hospitals and physicians.']	(1597, 1721)	[]
PMC5501061.nxml.gz	10	['PubMed Central:']	(1723, 1738)	[]
