PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	ONTOLOGY_CONCEPT_IDS_LIST
PMC4897523.nxml.gz	0	['Are Attributes of Pregnancy and the Delivery Room Experience Related to Development of Autism?']	(0, 94)	['?', 'related']
PMC4897523.nxml.gz	1	['A Review of the Perinatal and Labor Risk Factors and Autism\n\nAbstract\nAutism is a neurodevelopmental disorder marked by severe deficits in social communication and interactions.']	(95, 272)	[]
PMC4897523.nxml.gz	2	['It is a complex condition that lacks an established preventive method, warranting a need for research to identify possible environmental triggers.']	(273, 419)	['lacks', 'possible', 'future_work', 'future_work', 'future_work', 'complex']
PMC4897523.nxml.gz	3	['The identification of external factors particularly perinatal risk factors forms the initial critical step in preventing and alleviating risks.']	(420, 563)	['critical']
PMC4897523.nxml.gz	4	['We conducted a literature review to assess evidence suggested in the worldwide literature.']	(564, 654)	['suggested', 'to_assess', 'to_assess']
PMC4897523.nxml.gz	5	['Perinatal risk factors that have a suggested association include β 2 adrenergic receptor agonists, labor induction and augmentation, maternal infection and disease (i.e., antiphospholipid syndrome), antiepileptic drugs, cocaine use, and oral supplements.']	(655, 909)	['suggested', 'association']
PMC4897523.nxml.gz	6	['Smoking has not been found to have a direct association.']	(910, 966)	['found', 'association']
PMC4897523.nxml.gz	7	['Pollutants, selective serotonin reuptake inhibitors, artificial insemination, and fertility medications may have a link, but results are often conflicted.']	(967, 1121)	['may', 'link', 'conflicted']
PMC4897523.nxml.gz	8	['Factors related to the delivery room experience may be associated with meconium aspiration syndrome, birth weight, and labor time.']	(1122, 1252)	['may_be', 'may_be', 'superficial_relationship', 'related', 'associated']
PMC4897523.nxml.gz	9	['Several risk factors during the pregnancy and labor periods have been associated with autism; yet further studies with large populations are needed to establish definitive associations.']	(1253, 1438)	['have...been', 'have...been', 'superficial_relationship', 'associated', 'associations', 'further_studies', 'further_studies', 'studies...are_needed', 'studies...are_needed', 'studies...are_needed', 'yet']
PMC4897523.nxml.gz	10	['The fact that several risk factors during the prenatal and labor periods are implicated in autism should prompt the medical community to focus on the pregnancy and labor periods as preventive measures to curb the incidence of autism.']	(1439, 1672)	['superficial_relationship', 'implicated', 'should', 'important_consideration']
PMC4897523.nxml.gz	11	['1.']	(1674, 1676)	[]
