PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	ONTOLOGY_CONCEPT_IDS_LIST
PMC2874300.nxml.gz	0	['Early life nutrition, the developing immune system and subsequent allergic manifestations\nOver the last half-century, chronic disease incidence, including allergic manifestations (AM), has increased exponentially in developed nations and amongst the wealthy in developing nations.']	(0, 280)	['urgent_call_to_action', 'urgent_call_to_action']
PMC2874300.nxml.gz	1	['Concurrently, there has been a “nutrition transition” in the same populations.']	(281, 359)	[]
PMC2874300.nxml.gz	2	['Dietary patterns have shifted from a prudent diet (high fruit and vegetable-, and omega-3 fatty acid intake; low omega-6 fatty acid intake) to a western-style diet (higher levels omega-6 fats, lower amounts of fresh fruits and vegetables, and omega-3 fats).']	(360, 617)	[]
PMC2874300.nxml.gz	3	['While diet can impact health at any life stage, it is likely to be most important during the fetal and infancy periods, when the immune system is immature.']	(618, 773)	['likely', 'impact', 'important']
PMC2874300.nxml.gz	4	['Based on an extensive review of the literature, we considered this hypothesis for the 3 nutritional progressions from fetal life through infancy: prenatal nutrition, breastfeeding and introduction of solid foods.']	(774, 986)	['hypothesis', 'question_answered_by_this_work']
PMC2874300.nxml.gz	5	['While there is little conclusive evidence to support that a prudent diet is protective against AM especially after birth, modest evidence suggests that a prenatal maternal nutrition high in n-3 and micronutrients (e.g.']	(987, 1205)	['little_conclusive_evidence', 'little_conclusive_evidence', 'little_conclusive_evidence', 'evidence_to_support', 'evidence_to_support', 'evidence_to_support', 'modest_evidence', 'modest_evidence', 'suggests', 'controversy']
PMC2874300.nxml.gz	6	['vitamins C, D and E) protect against AM.']	(1206, 1246)	[]
PMC2874300.nxml.gz	7	['This indicates that there may be a window of opportunity during fetal development in which allergic manifestation risk may be altered.']	(1247, 1381)	['indicates', 'may_be', 'may_be', 'may_be', 'may_be', 'urgent_call_to_action', 'urgent_call_to_action', 'urgent_call_to_action']
PMC2874300.nxml.gz	8	['The effect of breastfeeding on the prevention AM is unresolved.']	(1382, 1445)	['superficial_relationship', 'unresolved']
PMC2874300.nxml.gz	9	['Despite this, exclusive breastfeeding to 4-6 months should be encouraged as human milk contains numerous immunological properties and is associated with other health benefits.']	(1446, 1621)	['associated', 'should_be', 'should_be', 'future_work', 'controversy']
PMC2874300.nxml.gz	10	['If breastfeeding is not possible, hydrolyzed formulas seem to confer a greater protective effect than traditional formulas.']	(1622, 1745)	['seem']
PMC2874300.nxml.gz	11	['Solid foods should be introduced at age 4-6 months.']	(1746, 1797)	['should_be', 'should_be']
PMC2874300.nxml.gz	12	['The order of introduction seems to have little effect on AM.']	(1798, 1858)	['seems']
PMC2874300.nxml.gz	13	['At present, it is impossible to conclusively state that a particular dietary pattern or food will alter AM risk in infants.']	(1859, 1982)	['will', 'impossible']
PMC2874300.nxml.gz	14	['Implications for research and practice are also discussed.']	(1983, 2041)	[]
PMC2874300.nxml.gz	15	['PubMed Central:']	(2043, 2058)	[]
