PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	ONTOLOGY_CONCEPT_IDS_LIST
PMC3710985.nxml.gz	0	['Pregnancy outcomes following maternal exposure to second-generation antipsychotics given with other psychotropic drugs: a cohort study\n\nAbstract\n\nObjectives\nSecond-generation antipsychotics (SGAs), in conjunction with other psychotropic medications, are increasingly used to treat psychiatric disorders in pregnancy.']	(0, 316)	[]
PMC3710985.nxml.gz	1	['The few available studies investigating the reproductive safety of SGAs did not reach conclusive results, and none have compared monotherapy with polytherapy involving other psychotropic medications.']	(317, 516)	['few...studies', 'few...studies', 'none', 'safety', 'not...conclusive', 'not...conclusive']
PMC3710985.nxml.gz	2	['Design\nDescriptive cohort study using a prospectively collected database.']	(518, 591)	[]
PMC3710985.nxml.gz	3	['Setting\nMotherisk Program, The Hospital for Sick Children, Toronto, Canada.']	(593, 668)	[]
PMC3710985.nxml.gz	4	['Participants\n133 women exposed to SGAs and other psychotropic drugs and 133 matched healthy controls were assessed and analysed.']	(670, 798)	[]
PMC3710985.nxml.gz	5	['Outcomes of mother–child pairs exposed to SGAs in monotherapy (N=37) were compared with those exposed to SGAs with other psychotropic medications (in polytherapy; N=96).']	(799, 968)	[]
PMC3710985.nxml.gz	6	['Main outcome measures\nMaternal, pregnancy, delivery and neonatal outcomes.']	(970, 1044)	[]
PMC3710985.nxml.gz	7	['Results\n72% of exposed women received SGAs in polytherapy, and 101 women took their medications throughout pregnancy.']	(1046, 1163)	[]
PMC3710985.nxml.gz	8	['These women had significantly higher pre-pregnancy weight, experienced more associated comorbidities and instrumental deliveries, and delivered a greater proportion of large for gestational age neonates.']	(1164, 1367)	[]
PMC3710985.nxml.gz	9	['There were no differences in maternal weight gain in pregnancy between the exposed and comparison groups and between the monotherapy-exposed and polytherapy-exposed subgroups.']	(1368, 1543)	[]
PMC3710985.nxml.gz	10	['The exposed neonates were more likely to be born premature, were admitted more often to the neonatal intensive care unit, presented with poor neonatal adaptation signs and had higher rates of congenital malformations.']	(1544, 1761)	['likely']
PMC3710985.nxml.gz	11	['All the aforementioned neonatal outcomes were found mainly in the polytherapy subgroup.']	(1762, 1849)	['mainly']
PMC3710985.nxml.gz	12	['Conclusions\nThe use of SGAs in polytherapy was prevalent in the assessed cohort and was associated with adverse pregnancy outcomes for both the mother and the child.']	(1851, 2016)	['associated']
PMC3710985.nxml.gz	13	['In utero exposure to SGA monotherapy appears to be associated with less risk to the fetus.']	(2017, 2107)	['associated', 'risk', 'appears_to_be', 'appears_to_be', 'appears_to_be']
PMC3710985.nxml.gz	14	['Future research should focus on polytherapy in pregnancy in order to define its reproductive safety and to separate the effects of medication exposure, underlying psychopathology and associated comorbidities.']	(2108, 2316)	['effects', 'underlying', 'associated', 'future_research', 'future_research', 'should', 'safety']
PMC3710985.nxml.gz	15	['Caption (BOXED-TEXT)\nArticle summary\n\nArticle focuses\nTo investigate the reproductive safety of the second-generation (atypical) antipsychotic (SGA) medications.']	(2318, 2479)	['safety', 'to_investigate', 'to_investigate']
PMC3710985.nxml.gz	16	['To compare pregnancy outcomes following maternal use of SGA monotherapy and polytherapy involving other psychotropic medications.']	(2480, 2609)	[]
PMC3710985.nxml.gz	17	['Key messages\nThe use of SGAs in polytherapy in pregnant women with mental health disorders is presently a common practice and is associated with adverse pregnancy outcomes for both the mother and the child.']	(2611, 2817)	['common_practice', 'common_practice', 'associated']
PMC3710985.nxml.gz	18	['In utero exposure to SGA monotherapy appears to be associated with less risk to the fetus.']	(2818, 2908)	['associated', 'risk', 'appears_to_be', 'appears_to_be', 'appears_to_be']
PMC3710985.nxml.gz	19	['The reproductive safety of antipsychotic medications should be studied in the reality of polytherapy, associated comorbidities and environmental and genetic confounders.']	(2909, 3078)	['associated', 'should_be', 'should_be', 'safety']
PMC3710985.nxml.gz	20	['Strengths and limitations of this study\nA cohort study using a prospectively collected database, including comparison groups and matching.']	(3080, 3218)	[]
PMC3710985.nxml.gz	21	['At present, the largest study to investigate pregnancy outcomes following the maternal use of SGA in monotherapy and in polytherapy, identifying risk behaviours and factors associated with adverse pregnancy outcomes.']	(3219, 3435)	['at_present', 'at_present', 'factors', 'associated', 'to_investigate', 'to_investigate', 'identifying']
PMC3710985.nxml.gz	22	['Inability to address confounding by indication and separate the effects of maternal\xa0mental illness and its severity from psychotropic pharmacotherapy on pregnancy outcome.']	(3436, 3607)	['effects', 'difficult_task', 'confounding']
PMC3710985.nxml.gz	23	['The women who contacted Motherisk tended to be middle to upper\xa0middle class, whereas a smaller proportion of callers came from the lower socioeconomic and/or immigrant population; however, this may not affect the generalisability of the results, as their outcomes may be confounded by other factors unrelated to the drug effect.']	(3608, 3936)	['may_not', 'may_not', 'may_be', 'may_be', 'as', 'tended', 'affect', 'factors', 'effect', 'generalisability', 'whereas', 'confounded']
PMC3710985.nxml.gz	24	['Although the women were recruited prospectively, there are potential limitations in the retrospectivity of a database.']	(3937, 4055)	['potential', 'although', 'problem_complication']
PMC3710985.nxml.gz	25	['The sample size necessary to define a twofold increase of malformation rates of 1–3% above the baseline was insufficient.']	(4056, 4177)	['problem_complication']
PMC3710985.nxml.gz	26	['Introduction\nPsychiatric disorders are among the most common pathologies affecting women of childbearing age.']	(4179, 4288)	['affecting', 'most_common', 'most_common']
PMC3710985.nxml.gz	27	['Recent estimates of the prevalence of psychiatric disorders in pregnancy range from 14% to 30.5%1–3and include mood, anxiety and psychotic disorders.1–4Untreated mental illness during pregnancy is associated with risks to both the mother and the child.5Uncontrolled schizophrenia, depression and bipolar disorder have all been associated with an increased risk for adverse pregnancy outcomes.6–8The risks associated with uncontrolled mental illness often lead physicians to recommend maintenance of treatment with psychotropic medications throughout gestation.']	(4289, 4849)	['recent', 'estimates', 'have...been', 'have...been', 'associated', 'associated', 'associated', 'prevalence', 'risks', 'important_consideration', 'increased_risk', 'increased_risk', 'risks', 'important_consideration']
PMC3710985.nxml.gz	28	['Antipsychotics have been utilised in the treatment of psychiatric disorders for a number of decades.']	(4850, 4950)	['number_of', 'number_of']
PMC3710985.nxml.gz	29	['While the initial drugs, now referred to as first-generation antipsychotics (FGAs), demonstrated a profound effect on treatment outcomes, this group of medications is not only associated with serious extrapyramidal complications, but is also known to induce hyperprolactinaemia and to affect fertility.']	(4951, 5253)	['demonstrated', 'known', 'effect', 'associated', 'affect', 'important_consideration', 'serious', 'important_consideration', 'not_only...but...also', 'not_only...but...also', 'not_only...but...also', 'not_only...but...also', 'while']
PMC3710985.nxml.gz	30	['The existing literature on pregnancy outcomes following exposure to FGAs has not shown a significantly increased risk for malformations above the baseline incidence.']	(5254, 5419)	['existing_literature', 'existing_literature', 'incomplete_evidence', 'incomplete_evidence']
PMC3710985.nxml.gz	31	['Conversely, many FGAs (including haloperidol, chlorpromazine, fluphenazine, thioridazine) have been associated with perinatal complications, particularly when exposure is later in pregnancy.9These include but are not limited to withdrawal symptoms, unstable body temperature, extrapyramidal signs, respiratory distress, seizures and transient neurodevelopmental delay.']	(5420, 5788)	['many', 'associated', 'important_consideration', 'particularly', 'conversely']
PMC3710985.nxml.gz	32	['Conclusions regarding other FGAs are limited due to either poor methodology or incomplete reporting.9Although the reproductive safety of FGAs is as yet unconfirmed, the adverse side effect profile necessitated the development of newer medications in recent years.']	(5789, 6052)	['limited', 'as_yet', 'as_yet', 'incomplete_evidence', 'conclusions', 'the_development_of', 'the_development_of', 'the_development_of', 'safety', 'although', 'either...or', 'either...or', 'due_to', 'due_to', 'poor', 'problem_complication']
PMC3710985.nxml.gz	33	['Second-generation antipsychotics (SGAs), also known as atypical antipsychotics, are a group of medications primarily used in the treatment of schizophrenia and bipolar disorder.']	(6053, 6230)	[]
PMC3710985.nxml.gz	34	['Since the mid-1990s, the use of SGAs has increased drastically and expanded rapidly to the treatment of depressive and anxiety disorders.10–13Furthermore, deinstitutionalisation, the destigmatisation of mental illness and the improved side effect profile of SGAs, particularly the reduced incidence of hyperprolactinaemia in most SGAs, have all contributed to increased fertility rates among treated women.9The rise in birth rate in women with psychiatric disorders, combined with the increase in off-label usage of these medications, has resulted in a significant increase in the number of fetuses exposed to this newer class of antipsychotics.']	(6231, 6876)	['contributed', 'important_consideration']
PMC3710985.nxml.gz	35	['While SGAs readily cross the placenta,14the existing studies that have investigated the reproductive safety of these agents did not reach conclusive results due to the methodological limitations, small sample sizes and failure to assess SGAs in monotherapy.']	(6877, 7134)	['studies', 'small', 'safety', 'while', 'not...conclusive', 'not...conclusive', 'due_to', 'due_to', 'problem_complication', 'problem_complication']
PMC3710985.nxml.gz	36	['The meagre body of literature regarding pregnancy outcomes following the maternal use of SGAs has produced conflicting findings, which may be attributed to the different methodologies and inadequate control for confounding variables.15A number of studies have found that exposure to SGAs is associated with a significantly increased risk of low birth weight16–18and small for gestational age infants, in comparison to healthy controls.17Conversely, Lin et al 17found that the risk of low\xa0birth weight, preterm births and small/large for gestational age (LGA) infants did not differ between women with schizophrenia receiving SGAs and those with the disorder who did not use an antipsychotic drug.']	(7135, 7831)	['incomplete_evidence', 'findings', 'may_be', 'may_be', 'number_of_studies', 'number_of_studies', 'number_of_studies', 'found', 'found', 'attributed', 'associated', 'increased_risk', 'increased_risk', 'anomaly_curious_finding', 'anomaly_curious_finding', 'conflicting', 'different', 'conversely', 'inadequate', 'confounding']
PMC3710985.nxml.gz	37	['In contrast, Newham et al 19found that neonates exposed to SGAs (n=25) were significantly more likely to be LGA compared with healthy controls.']	(7832, 7975)	['found', 'likely', 'in_contrast', 'in_contrast']
PMC3710985.nxml.gz	38	['Furthermore, a large study utilising data from the Swedish Medical Birth Register reported an increased risk of congenital malformations associated with exposure to either a typical antipsychotic or SGA; however, this finding failed to reach statistical significance after controlling for exposure to anticonvulsants.18\nAnother growing concern is the increased use of multiple psychotropic medications in the treatment of mental illness.']	(7976, 8413)	['reported', 'finding', 'associated', 'increased_risk', 'increased_risk', 'important_consideration', 'important_consideration', 'however', 'alternative_options_controversy', 'another']
PMC3710985.nxml.gz	39	['A number of studies have shown a significant rise in the incidence of polytherapy with two or more antidepressants, antipsychotics and sedative-hypnotics, as well as an increase in the concomitant prescription of an antidepressant and antipsychotic.151619–24Although polytherapy involving SGAs and other psychotropic medications appears to be increasingly common, no study until now has directly compared the reproductive safety of SGA monotherapy versus polytherapy with other medications.']	(8414, 8904)	['no_study', 'no_study', 'number_of_studies', 'number_of_studies', 'number_of_studies', 'have_shown', 'have_shown', 'safety', 'although', 'appears_to_be', 'appears_to_be', 'appears_to_be', 'alternative_options_controversy']
PMC3710985.nxml.gz	40	['We aimed to investigate the pregnancy outcomes of women receiving SGAs relative to a comparison group of matched healthy controls and to compare the outcomes of antipsychotic monotherapy with polytherapy involving other psychotropic medications.']	(8905, 9150)	['alternative_options_controversy', 'alternative_options_controversy', 'aimed', 'to_investigate', 'to_investigate']
PMC3710985.nxml.gz	41	['Methods and materials\nA descriptive cohort study with matched controls using a prospectively collected database was conducted.']	(9152, 9278)	[]
PMC3710985.nxml.gz	42	['All potential participants were identified from a database of women who directly contacted the Motherisk Program at the Hospital for Sick Children in Toronto, Canada, between 2005 and 2009.']	(9279, 9468)	[]
PMC3710985.nxml.gz	43	['Motherisk is a free counselling service offering evidence-based information regarding the reproductive safety of medications and other potentially teratogenic agents to pregnant and breastfeeding women across Canada and the USA.']	(9469, 9697)	[]
PMC3710985.nxml.gz	44	['Women who initially called the service to inquire about the safety of an SGA and who confirmed the use of this medication for a minimum of 4\u2005weeks of pregnancy were invited to participate.']	(9698, 9886)	[]
PMC3710985.nxml.gz	45	['Women who were exposed to teratogenic medications unrelated to their psychiatric disorder treatment, such as acutane, or who abused substances (eg, alcohol, marijuana, cocaine, heroin, etc) were excluded from the study cohort.']	(9887, 10113)	['excluded']
PMC3710985.nxml.gz	46	['A comparison group was comprised of women who contacted Motherisk between 2005 and 2009, and reported exposure to non-teratogenic agents (eg, acetaminophen, antihistamines, etc).']	(10114, 10292)	[]
PMC3710985.nxml.gz	47	['Women in the exposed and comparison groups were matched for age at conception (±3\u2005years) and pregnancy duration at the initial time of contact (±2\u2005weeks).']	(10293, 10447)	[]
PMC3710985.nxml.gz	48	['Fertility-assisted pregnancies, twin/triplet pregnancies or pregnancies with known outcomes at the initial time of contact (eg, contacted Motherisk following the birth, reported abnormal pregnancy screening tests and/or ultrasounds) were excluded from the exposed and comparison groups.']	(10448, 10734)	['excluded']
PMC3710985.nxml.gz	49	['Moreover, control women who reported a history of psychiatric disorders or who were exposed in their current pregnancy to a known teratogen were excluded.']	(10735, 10889)	['excluded']
PMC3710985.nxml.gz	50	['Women in the exposed and comparison groups participated in follow-up telephone interviews between 2009 and 2012, which gathered information regarding pregnancy, delivery and neonatal outcomes in order to define the variables of interest.']	(10890, 11127)	[]
PMC3710985.nxml.gz	51	['Maternal medical and obstetric histories and type and duration of SGAs and other psychotropic medications used in pregnancy were documented.']	(11128, 11268)	[]
PMC3710985.nxml.gz	52	['Information on usage of over-the-counter and prescription medications, substance use and breastfeeding was collected as well.']	(11269, 11394)	[]
PMC3710985.nxml.gz	53	["Consent was obtained to request a report from the child's physician, which included hospital birth records, postnatal assessments and information on congenital malformations and the child's health."]	(11395, 11592)	[]
PMC3710985.nxml.gz	54	['Data obtained from physicians were cross-referenced with information provided by the mothers in order to increase accuracy and minimise recall bias.']	(11593, 11741)	[]
PMC3710985.nxml.gz	55	['Oral consent for participation was provided by all women over the phone.']	(11742, 11814)	[]
PMC3710985.nxml.gz	56	['All study procedures were approved by The Hospital for Sick Children Research Ethics Board.']	(11815, 11906)	[]
PMC3710985.nxml.gz	57	['Statistical analysis\nThe first statistical comparison was performed between those exposed to SGAs and matched unexposed healthy controls.']	(11908, 12045)	[]
PMC3710985.nxml.gz	58	['The second statistical comparison was between those receiving SGA monotherapy and those receiving SGAs along with other psychotropic medications (defined by us as being exposed to polytherapy).']	(12046, 12239)	[]
PMC3710985.nxml.gz	59	['Maternal characteristics, as well as pregnancy, delivery and neonatal outcomes, were compared between groups.']	(12240, 12349)	[]
