PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	ONTOLOGY_CONCEPT_IDS_LIST
PMC2672462.nxml.gz	0	['The management of gestational diabetes\n\nAbstract\nThe incidence of gestational diabetes is increasing.']	(0, 101)	[]
PMC2672462.nxml.gz	1	['As gestational diabetes is associated with adverse pregnancy outcomes, and has long-term implications for both mother and child, it is important that it is recognized and appropriately managed.']	(102, 295)	['probable_understanding', 'associated', 'important']
PMC2672462.nxml.gz	2	['This review will examine the pharmacological options for the management of gestational diabetes, as well as the evidence for blood glucose monitoring, dietary and exercise therapy.']	(296, 476)	['incomplete_evidence', 'incomplete_evidence', 'incomplete_evidence', 'this_review', 'this_review', 'examine']
PMC2672462.nxml.gz	3	['The medical management of gestational diabetes is still evolving, and recent randomized controlled trials have added considerably to our knowledge in this area.']	(477, 637)	['still_evolving', 'still_evolving', 'anomaly_curious_finding']
PMC2672462.nxml.gz	4	['As insulin therapy is effective and safe, it is considered the gold standard of pharmacotherapy for gestational diabetes, against which other treatments have been compared.']	(638, 810)	['is_considered', 'is_considered', 'have...been', 'have...been', 'probable_understanding', 'other']
PMC2672462.nxml.gz	5	['The current experience is that the short acting insulin analogs lispro and aspart are safe, but there are only limited data to support the use of long acting insulin analogs.']	(811, 985)	['incomplete_evidence', 'incomplete_evidence', 'only', 'limited...data', 'limited...data', 'support', 'important_consideration']
PMC2672462.nxml.gz	6	['There are randomized controlled trials which have demonstrated efficacy of the oral agents glyburide and metformin.']	(986, 1101)	['demonstrated']
PMC2672462.nxml.gz	7	['Whilst short-term data have not demonstrated adverse effects of glyburide and metformin on the fetus, and they are increasingly being used in pregnancy, there remain long-term concerns regarding their potential for harm.']	(1102, 1322)	['remain', 'potential', 'effects', 'whilst', 'concerns']
PMC2672462.nxml.gz	8	['Background\nGestational diabetes (GDM) is defined as “carbohydrate intolerance with onset or first recognition during pregnancy”.1Large studies have found that GDM occurs in 2.2%–8.8% of pregnancies, depending on the ethnic mix of the population and the criteria used for diagnosis.2In some specific populations however, the incidence can be considerably higher.']	(1324, 1685)	['found', 'some', 'can', 'anomaly_curious_finding', 'anomaly_curious_finding', 'depending_on', 'depending_on']
PMC2672462.nxml.gz	9	['The incidence of GDM is increasing, in parallel to the increase in type 2 diabetes.']	(1686, 1769)	[]
PMC2672462.nxml.gz	10	['Essentially, women at risk of type 2 diabetes are at risk of GDM.']	(1770, 1835)	['at_risk', 'at_risk', 'at_risk', 'at_risk']
PMC2672462.nxml.gz	11	['During pregnancy, an increase in insulin resistance occurs.']	(1836, 1895)	[]
PMC2672462.nxml.gz	12	['Euglycemia is maintained through a compensatory increase in insulin secretion.']	(1896, 1974)	[]
PMC2672462.nxml.gz	13	['The key factor which results in the development of gestational diabetes appears to be a failure to compensate with increased insulin secretion.3As the increase in insulin resistance is greatest in the third trimester, GDM usually develops going into this period.']	(1975, 2237)	['usually', 'superficial_relationship', 'superficial_relationship', 'appears_to_be', 'appears_to_be', 'appears_to_be']
PMC2672462.nxml.gz	14	['Therefore, screening for GDM usually occurs around 24–28 weeks into the pregnancy.']	(2238, 2320)	['usually', 'therefore']
PMC2672462.nxml.gz	15	['The diagnosis is made with an oral glucose tolerance test, though the criteria vary around the world (Table 1).']	(2321, 2432)	['though', 'vary']
PMC2672462.nxml.gz	16	['Risk factors for the development of GDM include obesity, older age, family history, previous history of GDM or poor obstetric outcomes, ethnicity, polycystic ovary syndrome and as more recently noted, hypertension.4,5\nThe major significance of GDM is that it is associated with adverse pregnancy outcomes.']	(2433, 2738)	['recently', 'superficial_relationship', 'superficial_relationship', 'associated', 'important_consideration', 'anomaly_curious_finding']
PMC2672462.nxml.gz	17	['Macrosomia, shoulder dystocia with its attendant risks of brachial plexus injury and clavicle fracture, and neonatal hypoglycemia are the serious complications which most commonly occur.6–11Jaundice, polycythemia, respiratory distress, and hypocalcemia have also been reported.']	(2739, 3016)	['incomplete_evidence', 'incomplete_evidence', 'have...been', 'have...been', 'reported', 'important_consideration', 'complications']
PMC2672462.nxml.gz	18	['Additionally, there are some data that suggest an increase in fetal malformation and perinatal mortality.7,12–15The above risks can be minimized with good glycemic control and judicious obstetric care.']	(3017, 3218)	['some', 'suggest']
PMC2672462.nxml.gz	19	['Cesarean sections are also more common, and GDM is associated with a higher risk of pre-eclampsia.9–11\nExposure of the fetus to hyperglycemia may also predispose the child to a diabetes phenotype in later life.']	(3219, 3429)	['may', 'associated']
PMC2672462.nxml.gz	20	['This has been elegantly demonstrated by the long-term follow-up of the offspring of Pima Indian mothers.16,17Offspring who were born to mothers who were already diabetic when pregnant had a 45% likelihood of type 2 diabetes by the age of 20–24, whereas it was 8.6% amongst those with mothers who only developed diabetes after pregnancy (ie, were prediabetic).']	(3430, 3789)	['has_been', 'has_been', 'demonstrated', 'only', 'likelihood', 'whereas']
PMC2672462.nxml.gz	21	['Amongst sibships discordant for exposure to hyperglycemia, the sibling exposed to hyperglycemia had a considerably higher risk of subsequent diabetes, suggesting that genetic factors were not predominantly responsible for the difference in diabetes incidence.']	(3790, 4049)	['suggesting', 'incomplete_evidence', 'incomplete_evidence', 'probable_understanding', 'anomaly_curious_finding']
PMC2672462.nxml.gz	22	['Since then, numerous other observational studies have shown that the offspring of diabetic pregnancies have a higher risk of developing a diabetes phenotype.18,19There is also concern that this leads to an intergenerational effect, with GDM promoting diabetes in the offspring, with perpetuation of the vicious cycle when the offspring herself develops GDM, thereby predisposing the grandchild to the development of diabetes as well.20It is unknown however, what degree of hyperglycemia, or indeed if it is related metabolic disturbances, which increases the risk of diabetes to the offspring.']	(4050, 4643)	['unknown', 'what', 'have_shown', 'have_shown', 'effect', 'related', 'important_consideration', 'other', 'however', 'or', 'if']
PMC2672462.nxml.gz	23	['Additionally, the diagnosis of GDM indicates that the mother has a predisposition to diabetes.']	(4644, 4738)	[]
PMC2672462.nxml.gz	24	['In most cases, this is type 2 diabetes.']	(4739, 4778)	[]
PMC2672462.nxml.gz	25	['In the longest follow-up of women who have had GDM 36% of women had developed diabetes within 22–28 years (by WHO criteria).21This was in a predominantly white population in Boston from the 1960s.']	(4779, 4975)	[]
PMC2672462.nxml.gz	26	['Evidence from more contemporary populations is that the likelihood of subsequent diabetes may be substantially higher.22Women who have had GDM account for a significant burden of the population prevalence of diabetes.']	(4976, 5193)	['may_be', 'may_be', 'likelihood', 'burden']
PMC2672462.nxml.gz	27	['It has been estimated that up to one third of women with diabetes, had a GDM pregnancy earlier in their life,2though this was not evident in a recent survey of women with type 2 diabetes.23\nThis review will focus on the medical management of GDM, in particular self monitoring of blood glucose and diabetes education, dietary therapy and physical activity, pharmacotherapy, and post-partum management.']	(5194, 5595)	['has_been', 'has_been', 'estimated', 'was_not', 'was_not', 'alternative_options_controversy', 'this_review', 'this_review', 'focus']
PMC2672462.nxml.gz	28	['For an excellent discussion of the obstetric management of GDM, I will refer the reader to the review by Conway.24\n\nDiabetes education, self-monitoring of blood glucose, dietary therapy, and exercise\nSelf-care is an important component of the management of GDM.']	(5596, 5857)	['important']
PMC2672462.nxml.gz	29	['Therefore it is commonplace for the diabetes care team to provide the women with information and education to facilitate self-care.']	(5858, 5989)	[]
PMC2672462.nxml.gz	30	['This includes information regarding GDM, self-monitoring of blood glucose, dietary counseling, and advice regarding healthy lifestyle measures post-partum.']	(5990, 6145)	[]
PMC2672462.nxml.gz	31	['The involvement of a dietician and diabetes educator experienced in the care of women with GDM will facilitate these areas of management.']	(6146, 6283)	['will']
PMC2672462.nxml.gz	32	['Blood glucose monitoring\nWomen with GDM should perform home blood glucose monitoring.']	(6285, 6370)	['should']
PMC2672462.nxml.gz	33	['Blood glucose levels are usually monitored in the fasting state and 1–2 hours after meals.']	(6371, 6461)	[]
PMC2672462.nxml.gz	34	['Treatment to post-prandial targets results in superior pregnancy outcomes compared to pre-prandial targets.25The recommended treatment targets vary from country to country (Table 2).']	(6462, 6644)	['recommended', 'vary']
