PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	ONTOLOGY_CONCEPT_IDS_LIST
PMC3659910.nxml.gz	0	['Vitamin D in pregnancy: A metabolic outlook\n\nAbstract\nVitamin D deficiency is a preventable health problem.']	(0, 107)	['important_consideration', 'important_consideration']
PMC3659910.nxml.gz	1	['Vitamin D deficiency among pregnant women is frequent in many populations over the world.']	(108, 197)	[]
PMC3659910.nxml.gz	2	['Research indicates that adequate vitamin D intake in pregnancy is optimal for maternal, fetal and child health.']	(198, 309)	['incomplete_evidence', 'indicates', 'optimal']
PMC3659910.nxml.gz	3	['Adverse health outcomes during pregnancy are preeclampsia; gestational diabetes mellitus and caesarean section.']	(310, 421)	[]
PMC3659910.nxml.gz	4	['Consequences in newborns are low birth weight, neonatal rickets, a risk of neonatal hypocalcaemia, asthma and/or type 1 diabetes.']	(422, 551)	[]
PMC3659910.nxml.gz	5	['Vitamin D deficiency during pregnancy is the origin for a host of future perils for the child, especially effect on neurodevelopment and immune system.']	(552, 703)	['effect', 'future_prediction', 'future_prediction', 'important_consideration']
PMC3659910.nxml.gz	6	['Some of this damage done by maternal Vitamin D deficiency gets evident after many years.']	(704, 792)	['probable_understanding']
PMC3659910.nxml.gz	7	['Therefore, prevention of vitamin D deficiency among pregnant women is essential.']	(793, 873)	['therefore', 'prevention', 'essential']
PMC3659910.nxml.gz	8	['The currently recommended supplementation amount of vitamin D is not sufficient to maintain a value of 25 hydroxy vitamin D above 30 ng/ml, during pregnancy.']	(874, 1031)	['currently', 'recommended', 'important_consideration', 'important_consideration']
PMC3659910.nxml.gz	9	['Studies are underway to establish the recommended daily doses of vitamin D in pregnant women.']	(1032, 1125)	['studies_are_underway', 'studies_are_underway', 'studies_are_underway', 'recommended']
PMC3659910.nxml.gz	10	['Clearly, further investigation is required into the effects of vitamin D, of vitamin D supplementation, and of vitamin D analogs for improvement in human health generally and mothers and children specifically.']	(1126, 1335)	['effects', 'further_investigation', 'further_investigation', 'future_work', 'required']
PMC3659910.nxml.gz	11	['This review discusses vitamin D metabolism, dietary requirements and recommendations and implications of vitamin D deficiency during pregnancy and lactation.']	(1336, 1493)	['recommendations', 'requirements', 'implications', 'this...review', 'this...review']
PMC3659910.nxml.gz	12	['INTRODUCTION\nVitamin D has been a hot topic in the medical world for the past 10 years.']	(1495, 1582)	['important_consideration', 'important_consideration']
