PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	ONTOLOGY_CONCEPT_IDS_LIST
PMC4653418.nxml.gz	0	['Risk factors for gestational diabetes mellitus in a sample of pregnant women diagnosed with the disease\n\nBackground\nThe known risk factors for Gestational Diabetes Mellitus (GDM) are advanced age (≥35 yrs.']	(0, 205)	[]
PMC4653418.nxml.gz	1	['), overweight or obesity, excessive gestational weight gain, excessive central body fat deposition, family history of diabetes, short stature (<1.50 m), excessive fetal growth, polyhydramnios, hypertension or preeclampsia in the current pregnancy, history of recurrent miscarriage, offspring malformation, fetal or neonatal death, macrosomia, GDM during prior pregnancies and polycystic ovary syndrome.']	(205, 607)	[]
PMC4653418.nxml.gz	2	['In addition to the most common factors the sedentary lifestyle may also be a risk factor for GDM.']	(608, 705)	['may']
PMC4653418.nxml.gz	3	['Objective\nTo identify the presence of GDM risk factors during pregnancy at the time of diagnosis of this pathology.']	(707, 822)	['question_answered_by_this_work', 'question_answered_by_this_work']
PMC4653418.nxml.gz	4	['Materials and methods\nCross-sectional study of 76 pregnant women who were referred to a multidisciplinary clinic for high risk pregnancies, in a tertiary hospital in southern Brazil, at the time of GDM diagnosis.']	(824, 1036)	[]
PMC4653418.nxml.gz	5	['A trained interviewer administered a questionnaire to gather sociodemographic, clinical, anthropometric and lifestyle habits data.']	(1037, 1167)	[]
PMC4653418.nxml.gz	6	['Pre-pregnancy nutritional status and weight gain were classified according to the Institute of Medicine guidelines.']	(1168, 1283)	[]
PMC4653418.nxml.gz	7	['Current Body Mass Index (BMI) was classified by gestational week, according to Atalah.']	(1284, 1370)	[]
PMC4653418.nxml.gz	8	['Because the risk of developing GDM gradually increases in overweight and obese women, the total sample was divided into three pre-pregnancy BMI groups for comparison: BMI <25 kg/m2, BMI ≥25 kg/m2and <30 kg/m2and BMI ≥30 kg/m2.']	(1371, 1597)	[]
PMC4653418.nxml.gz	9	['Pearson Chi-square test, analysis of variance and Kruskal-Wallis were employed.']	(1598, 1677)	[]
PMC4653418.nxml.gz	10	['Results\nSeventy-six women were evaluated, 53 (69.7%) had 10 yrs.']	(1679, 1743)	[]
PMC4653418.nxml.gz	11	['of education or less and 23 (30.3%) had 11 yrs.']	(1744, 1791)	[]
PMC4653418.nxml.gz	12	['or more.']	(1792, 1800)	[]
PMC4653418.nxml.gz	13	['In this sample there was a high prevalence of: unfavorable pre-pregnancy nutritional status (overweight or obesity), gestational weight gain above recommendations (PPBMI <25 kg/m2is associated with greater weight gain compared to obese), family history of diabetes, advanced age (38.2%) and low levels of physical activity (data shown in Figure1).']	(1801, 2148)	['associated', 'urgent_call_to_action']
PMC4653418.nxml.gz	14	['Caption (FIG): FIGURE 1\n\nRisk factors related to the development of Gestational Diabetes Mellitus stratified by pre-pregnancy Body Mass Index (PPBMI) classification in a sample of pregnant women at diagnosis of the disease, Rio Grande do Sul/Brazil, 2014.']	(2150, 2405)	[]
PMC4653418.nxml.gz	15	['Conclusion\nWe observed a high prevalence of risk factors for GDM in this sample.']	(2407, 2487)	[]
PMC4653418.nxml.gz	16	['An adequate pre-pregnancy nutritional status was associated with gestational weight gain above recommendations.']	(2488, 2599)	['associated']
PMC4653418.nxml.gz	17	['These Results emphasize the need for pregnant women to be professionally monitored so that modifiable risk factors can be managed.']	(2600, 2730)	['the_need', 'the_need']
PMC4653418.nxml.gz	18	['PubMed Central:']	(2732, 2747)	[]
