PMC5030620.nxml.gz-1042,"[['62338'], ['62344'], 'advice', 'advice', 'FUTURE_WORK', 'PMC5030620.nxml.gz_339']"
PMC5030620.nxml.gz-1043,"[['62349'], ['62364'], 'recommendations', 'recommendations', 'FUTURE_WORK', 'PMC5030620.nxml.gz_339']"
PMC5030620.nxml.gz-105,"[['4691'], ['4705'], 'considerations', 'considerations', 'FUTURE_WORK', 'PMC5030620.nxml.gz_19']"
PMC5030620.nxml.gz-1078,"[['63346'], ['63367'], 'provide valuable data', 'future_work', 'future_work', 'PMC5030620.nxml.gz_345']"
PMC5030620.nxml.gz-1079,"[['63368'], ['63389'], 'to begin establishing', 'future_work', 'future_work', 'PMC5030620.nxml.gz_345']"
PMC5030620.nxml.gz-1150,"[['65427'], ['65438'], 'opportunity', 'opportunity', 'FUTURE_WORK', 'PMC5030620.nxml.gz_356']"
PMC5030620.nxml.gz-1199,"[['67533'], ['67543'], 'strategies', 'strategies', 'FUTURE_WORK', 'PMC5030620.nxml.gz_363']"
PMC5030620.nxml.gz-121,"[['5379'], ['5385'], 'advice', 'advice', 'FUTURE_WORK', 'PMC5030620.nxml.gz_21']"
PMC5030620.nxml.gz-123,"[['5416'], ['5431'], 'recommendations', 'recommendations', 'FUTURE_WORK', 'PMC5030620.nxml.gz_21']"
PMC5030620.nxml.gz-1236,"[['68771'], ['68780'], 'encourage', 'encourage', 'FUTURE_WORK', 'PMC5030620.nxml.gz_369']"
PMC5030620.nxml.gz-1240,"[['69028'], ['69044'], 'begin to address', 'future_work', 'future_work', 'PMC5030620.nxml.gz_370']"
PMC5030620.nxml.gz-1242,"[['69069'], ['69084'], 'help to develop', 'future_work', 'future_work', 'PMC5030620.nxml.gz_370']"
PMC5030620.nxml.gz-1253,"[['69512'], ['69519'], 'further', 'future_work', 'future_work', 'PMC5030620.nxml.gz_373']"
PMC5030620.nxml.gz-1259,"[['69771'], ['69780'], 'is needed', 'is_needed', 'FUTURE_WORK', 'PMC5030620.nxml.gz_374']"
PMC5030620.nxml.gz-1297,"[['72258'], ['72268'], 'to examine', 'future_work', 'future_work', 'PMC5030620.nxml.gz_383']"
