CL_EXT_2021_10_26_Instance_2	PMC1474522.nxml.gz_1	129 138	Müllerian	CL_EXT_biobert_model_local_PMC1474522.nxml.gz
CL_EXT_2021_10_26_Instance_5	PMC1626394.nxml.gz_2	290 297;298 304;305 310	mucosal lining cells	CL_EXT_biobert_model_local_PMC1626394.nxml.gz
CL_EXT_2021_10_26_Instance_6	PMC1626394.nxml.gz_19	2809 2814	cells	CL_EXT_biobert_model_local_PMC1626394.nxml.gz
CL_EXT_2021_10_26_Instance_9	PMC2265032.nxml.gz_4	689 702	intracellular	CL_EXT_biobert_model_local_PMC2265032.nxml.gz
CL_EXT_2021_10_26_Instance_10	PMC2265032.nxml.gz_4	738 742	cell	CL_EXT_biobert_model_local_PMC2265032.nxml.gz
CL_EXT_2021_10_26_Instance_11	PMC2265032.nxml.gz_25	4366 4370	cell	CL_EXT_biobert_model_local_PMC2265032.nxml.gz
CL_EXT_2021_10_26_Instance_12	PMC2265032.nxml.gz_25	4402 4406	cell	CL_EXT_biobert_model_local_PMC2265032.nxml.gz
CL_EXT_2021_10_26_Instance_14	PMC2396486.nxml.gz_16	2714 2722	cellular	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_15	PMC2396486.nxml.gz_16	2885 2890;2891 2895	glial cell	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_16	PMC2396486.nxml.gz_91	14256 14264	cellular	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_17	PMC2396486.nxml.gz_91	16453 16461	Cellular	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_18	PMC2396486.nxml.gz_91	16472 16480	cellular	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_19	PMC2396486.nxml.gz_91	16508 16512	cell	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_20	PMC2396486.nxml.gz_98	17686 17694;17695 17704;17705 17717	cortical GABAergic interneurons	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_21	PMC2396486.nxml.gz_100	17969 17977	cellular	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_22	PMC2396486.nxml.gz_100	18065 18072	neurons	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_23	PMC2396486.nxml.gz_101	18189 18194	cells	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_24	PMC2396486.nxml.gz_101	18213 18226	intracellular	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_25	PMC2396486.nxml.gz_101	18279 18283	cell	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_26	PMC2396486.nxml.gz_102	18538 18546	neuronal	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_27	PMC2396486.nxml.gz_103	18831 18838	neurons	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_28	PMC2396486.nxml.gz_104	19009 19021;19022 19029	dopaminergic neurons	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_29	PMC2396486.nxml.gz_108	19403 19411	cellular	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_30	PMC2396486.nxml.gz_111	20062 20067	cells	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_31	PMC2396486.nxml.gz_113	20225 20232	neurons	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_32	PMC2396486.nxml.gz_113	20345 20350	cells	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_33	PMC2396486.nxml.gz_114	20383 20395;20396 20401	dopaminergic cells	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_34	PMC2396486.nxml.gz_122	22136 22143	neurons	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_35	PMC2396486.nxml.gz_123	22254 22262	cellular	CL_EXT_biobert_model_local_PMC2396486.nxml.gz
CL_EXT_2021_10_26_Instance_37	PMC2516588.nxml.gz_12	1736 1741	sperm	CL_EXT_biobert_model_local_PMC2516588.nxml.gz
