	IGNORANCE CATEGORY	ARTICLE	CUE SPAN	CUE	SENTENCE	SENTENCE SPAN
296	question_answered_by_this_work	PMC4949713	[(1945, 1956)]	This review	['This review aims to discuss the pathogenesis of human craniopharyngioma from an embryological perspective, arguing that the majority of human ACPs are developmental tumours.']	(1945, 2118)
297	question_answered_by_this_work	PMC4949713	[(1957, 1961)]	aims	['This review aims to discuss the pathogenesis of human craniopharyngioma from an embryological perspective, arguing that the majority of human ACPs are developmental tumours.']	(1945, 2118)
298	question_answered_by_this_work	PMC4949713	[(20154, 20158)]	this	['Molecular analyses have provided some interesting and provocative insights into this question.']	(20074, 20168)
507	question_answered_by_this_work	PMC7547020	[(628, 634)]	Herein	['Herein, we present a novel genetic algorithm (GA) that identifies optimal architecture parameters using feature embeddings from state-of-the-art image classification networks to identify the pediatric brain tumor, adamantinomatous craniopharyngioma (ACP).']	(628, 883)
508	question_answered_by_this_work	PMC7547020	[(803, 805)]	to	['Herein, we present a novel genetic algorithm (GA) that identifies optimal architecture parameters using feature embeddings from state-of-the-art image classification networks to identify the pediatric brain tumor, adamantinomatous craniopharyngioma (ACP).']	(628, 883)
509	question_answered_by_this_work	PMC7547020	[(1171, 1180)]	This work	['This work advances DL and its applications within healthcare by identifying optimized networks in small-scale data contexts.']	(1171, 1295)
510	question_answered_by_this_work	PMC7547020	[(5361, 5375)]	To demonstrate	['To demonstrate the capacity of combining deep networks, transfer learning, data augmentation, and genetic algorithms to overcome the problem of overfitting with small datasets, we utilized the pediatric brain tumor Adamantinomatous Craniopharyngioma (ACP).']	(5361, 5617)
511	question_answered_by_this_work	PMC7547020	[(5940, 5944)]	Here	['Here, ACP compresses the optic apparatus, hypothalamic-pituitary axis, and cerebral ventricular system.']	(5940, 6043)
512	question_answered_by_this_work	PMC7547020	[(14451, 14457)]	sought	['We sought to verify that we did not identify a local minima within the model solution space by exploring 0.1% of all solutions.']	(14448, 14575)
513	question_answered_by_this_work	PMC7547020	[(14458, 14467)]	to verify	['We sought to verify that we did not identify a local minima within the model solution space by exploring 0.1% of all solutions.']	(14448, 14575)
514	question_answered_by_this_work	PMC7547020	[(17467, 17476)]	our study	['In our study, the stochastic approach yielded superior results without the requirement to train and evaluate complex machine-learning systems and with lesser computational demand.']	(17464, 17643)
515	question_answered_by_this_work	PMC7547020	[(21337, 21343)]	sought	['Next, we sought to compare the generalization capacity of our GA-optimized models against the performance of board-certified pediatric neuroradiologists.']	(21328, 21481)
516	question_answered_by_this_work	PMC7547020	[(22118, 22124)]	herein	['This performance corroborates the overall generalization capacity of the models presented herein.']	(22028, 22125)
