	IGNORANCE CATEGORY	ARTICLE	CUE SPAN	CUE	SENTENCE	SENTENCE SPAN
248	anomaly_curious_finding	PMC4949713	[(179, 187)]	Although	['Although histologically benign, these are clinically aggressive tumours, difficult to manage and associated with poor quality of life for the patients.']	(179, 330)
249	anomaly_curious_finding	PMC4949713	[(621, 631)]	unexpected	['Recently, research using genetically modified mouse models of human ACP have revealed a critical and unexpected nonâ\x80\x90cell autonomous role for pituitary stem cells in ACP tumourigenesis, which has expanded the cancer stem cell paradigm.']	(520, 756)
250	anomaly_curious_finding	PMC4949713	[(10892, 10903)]	interesting	['Overâ\x80\x90activation of the WNT/Î²â\x80\x90catenin pathway underlies the molecular aetiology of human and mouse ACP \n\nAn interesting observation of the previously described embryonic mouse line (hereby referred to as the â\x80\x98embryonic ACP modelâ\x80\x99) is that the remaining 20% of the pups survive weaning but show variable growth defects and fully penetrant pituitary tumours, with a median survival of around 11 weeks of age [21].']	(10780, 11199)
251	anomaly_curious_finding	PMC4949713	[(10904, 10915)]	observation	['Overâ\x80\x90activation of the WNT/Î²â\x80\x90catenin pathway underlies the molecular aetiology of human and mouse ACP \n\nAn interesting observation of the previously described embryonic mouse line (hereby referred to as the â\x80\x98embryonic ACP modelâ\x80\x99) is that the remaining 20% of the pups survive weaning but show variable growth defects and fully penetrant pituitary tumours, with a median survival of around 11 weeks of age [21].']	(10780, 11199)
252	anomaly_curious_finding	PMC4949713	[(11841, 11848)]	However	['However, contrary to the human counterpart, mouse ACPs do not show wet keratin or calcification, suggesting speciesâ\x80\x90specific differences between mouse and human ACPs.']	(11841, 12009)
253	anomaly_curious_finding	PMC4949713	[(12098, 12105)]	Despite	"[""Despite these differences, the mouse tumours are more similar to human ACP than to any other tumour of the sellar region including pituitary adenoma, Rathke's cleft cysts and even the papillary type of craniopharyngioma.""]"	(12098, 12318)
254	anomaly_curious_finding	PMC4949713	[(12273, 12277)]	even	"[""Despite these differences, the mouse tumours are more similar to human ACP than to any other tumour of the sellar region including pituitary adenoma, Rathke's cleft cysts and even the papillary type of craniopharyngioma.""]"	(12098, 12318)
255	anomaly_curious_finding	PMC4949713	[(13533, 13544)]	interesting	['Childhoodâ\x80\x90onset ACP is likely to be a tumour of embryonic origin\n\nFurther molecular and genetic studies using the embryonic ACP mouse model have revealed two interesting findings on the pathogenesis of human ACPs, in particular, of childhoodâ\x80\x90onset ACP.']	(13373, 13629)
256	anomaly_curious_finding	PMC4949713	[(13700, 13704)]	only	"[""First, genetic approaches in mice have demonstrated that tumours form only when oncogenic Î²â\x80\x90catenin is expressed in Rathke's pouch undifferentiated precursors, but not when committed progenitors or fully differentiated hormoneâ\x80\x90producing cells are targeted.""]"	(13630, 13891)
257	anomaly_curious_finding	PMC4949713	[(14289, 14299)]	remarkable	['The similarities between the mouse and human clusters are remarkable, not only morphologically but also at the molecular level, strongly suggesting that they represent equivalent structures in mouse and human ACPs.']	(14231, 14445)
258	anomaly_curious_finding	PMC4949713	[(14301, 14309)]	not only	['The similarities between the mouse and human clusters are remarkable, not only morphologically but also at the molecular level, strongly suggesting that they represent equivalent structures in mouse and human ACPs.']	(14231, 14445)
259	anomaly_curious_finding	PMC4949713	[(14326, 14334)]	...but also	['The similarities between the mouse and human clusters are remarkable, not only morphologically but also at the molecular level, strongly suggesting that they represent equivalent structures in mouse and human ACPs.']	(14231, 14445)
260	anomaly_curious_finding	PMC4949713	[(14446, 14453)]	In fact	['In fact, whole transcriptome gene expression profiling of the mouse cluster cells has revealed numerous genes/pathways that are dysregulated in the mouse and also in the human tumours [42].']	(14446, 14635)
261	anomaly_curious_finding	PMC4949713	[(14998, 15005)]	Of note	['Of note, somatotrophs are clearly defective in the embryonic ACP model by the end of gestation and postnatally resulting in dwarfism [21].']	(14998, 15136)
262	anomaly_curious_finding	PMC4949713	[(15335, 15342)]	In fact	['In fact, foetal ACP was recently diagnosed in a 18 week human foetus [49].']	(15335, 15409)
263	anomaly_curious_finding	PMC4949713	[(17439, 17450)]	Importantly	['Importantly, these tumours contain Î²â\x80\x90cateninâ\x80\x90accumulating cell clusters, indicating a significant resemblance to both human ACP and the embryonic model previously described.']	(17439, 17617)
264	anomaly_curious_finding	PMC4949713	[(18431, 18443)]	Surprisingly	['Surprisingly, tumours do not express YFP, indicating that the cell of origin of mouse ACP is not a targeted SOX2+ve cell (Figureâ\x80\x895) [52].']	(18431, 18570)
265	anomaly_curious_finding	PMC4949713	[(20112, 20123)]	interesting	['Molecular analyses have provided some interesting and provocative insights into this question.']	(20074, 20168)
266	anomaly_curious_finding	PMC4949713	[(20854, 20856)]	Of	['Of interest, proteins with proâ\x80\x90inflammatory properties have been identified in the cystic fluid of human ACP, suggesting that ACP may be an inflammationâ\x80\x90driven tumour [13, 14, 15, 16].']	(20854, 21042)
267	anomaly_curious_finding	PMC4949713	[(20857, 20865)]	interest	['Of interest, proteins with proâ\x80\x90inflammatory properties have been identified in the cystic fluid of human ACP, suggesting that ACP may be an inflammationâ\x80\x90driven tumour [13, 14, 15, 16].']	(20854, 21042)
