	ARTICLE	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
0	PMC4949713	13	['For inâ\x80\x90depth analysis of the clinical aspects of human ACP, such as treatments and patient management, readers are directed to the other reviews on these topics [1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12].']	(2542, 2742)
1	PMC4949713	14	['Pathology of human ACP \n\nHuman ACPs are cystic tumours located either within or above the sellar region, frequently compromising the hypothalamus, pituitary gland, pituitary stalk and optic chiasm.']	(2744, 2941)
2	PMC4949713	15	['The histopathology of these tumours is characterized by the formation of a peripheral basal cell layer of palisading epithelium, loose aggregates of epithelial stellate cells, nodules of anucleated ghost cells with brightly eosinophilic cytoplasm termed wet keratin, large areas of regressive changes, that is, hemosiderin deposits, cholesterol clefts, multinucleated foreignâ\x80\x90body giant cells, inflammation and calcifications [13, 14, 15, 16].']	(2942, 3387)
3	PMC4949713	16	['A histopathological hallmark of human ACP is the presence of cells showing nucleoâ\x80\x90cytoplasmic accumulation of Î²â\x80\x90catenin, which often gather to form whorlâ\x80\x90like structures close to the invasive front (hereby referred to as â\x80\x98cell clustersâ\x80\x99) [9, 17, 18, 19, 20] (Figureâ\x80\x891).']	(3389, 3671)
4	PMC4949713	17	['These are clearly a minority of cells and are distributed evenly throughout the tumour.']	(3672, 3759)
5	PMC4949713	18	['These Î²â\x80\x90cateninâ\x80\x90accumulating cluster cells show activation of the WNT/Î²â\x80\x90catenin pathway as evidenced by the expression of pathway targets such as AXIN2, LEF1 and BMP4 [18, 21, 22].']	(3760, 3948)
6	PMC4949713	19	['They distinctly express stem cell markers [23] and the tight junction protein Claudinâ\x80\x901 [24].']	(3949, 4044)
7	PMC4949713	20	['The presence of these clusters is a hallmark that differentiates human ACP from any other tumour of the sellar region, including the papillary type of craniopharyngioma [25].']	(4045, 4219)
8	PMC4949713	21	['Caption (Fig): FIG 1\n\nHistomorphological features of mouse and human ACP.']	(4221, 4294)
9	PMC4949713	22	['(A) Haematoxylin and eosin staining of mouse and human tumours showing the presence of microcystic changes (stellate reticulum; arrows) and whorlâ\x80\x90like nodular structures (cell clusters; arrowheads).']	(4295, 4495)
10	PMC4949713	23	['(B) Immunohistochemistry with a specific antiâ\x80\x90Î²â\x80\x90catenin antibody showing the presence of cell clusters with nucleoâ\x80\x90cytoplasmic accumulation of Î²â\x80\x90catenin.']	(4496, 4659)
11	PMC4949713	24	['Reproduced with permission from PNAS\n(Gastonâ\x80\x90Massuet etâ\x80\x89al., PNAS USA 2011, vol.']	(4660, 4744)
12	PMC4949713	25	['108, number 28, pp 11482â\x80\x9311487).']	(4745, 4779)
13	PMC4949713	29	['The mature gland, consisting of the anterior and posterior pituitary (AP and PP, respectively), starts to develop around 9.0 days post coitum (dpc) in mice and around week 4 in humans from two distinct germ layers (Figureâ\x80\x892).']	(5320, 5547)
14	PMC4949713	30	"[""The AP derives from Rathke's pouch, a region of the oral epithelium of the early embryo that contains the undifferentiated precursors of all of the hormoneâ\x80\x90producing endocrine cells of the mature pituitary as well as tissueâ\x80\x90specific pituitary stem cells of the adult organ [28].""]"	(5548, 5830)
15	PMC4949713	31	['The PP is of neural origin and originates from a diverticulum at the floor of the prospective hypothalamus called the infundibulum.']	(5831, 5962)
16	PMC4949713	32	['The PP is hypocellular and contains the axons of the oxytocin and arginine vasopressin neurons of the hypothalamus.']	(5963, 6078)
17	PMC4949713	33	['The PP is connected to the hypothalamus through the pituitary stalk, which comprises the portal vessels and hypothalamic axons.']	(6079, 6206)
18	PMC4949713	34	['Caption (Fig): FIG 2\n\nCartoon showing mouse pituitary development from 9.5 to 18.']	(6208, 6289)
19	PMC4949713	35	['5â\x80\x89dpc.']	(6290, 6298)
20	PMC4949713	36	"[""Rathke's pouch (RP) forms at 9.5â\x80\x89dpc as an evagination of the oral ectoderm (OE) at the boundary between OE and pharyngeal endoderm (PE).""]"	(6299, 6438)
21	PMC4949713	37	['The epithelium of RP contains the undifferentiated progenitors that give rise to all hormoneâ\x80\x90producing cells at the end of gestation.']	(6439, 6574)
22	PMC4949713	38	['By 11.5â\x80\x89dpc, RP pinches off from the oral ectoderm and establishes contacts with the infundibulum (INF), a recess of the floor of the diencephalon (DI).']	(6575, 6729)
23	PMC4949713	39	['RP progenitors proliferate rapidly from 9.5â\x80\x89dpc and the progeny migrates ventrally and initiates differentiation to populate the primordium of the anterior lobe (AL) of the pituitary.']	(6730, 6915)
24	PMC4949713	40	['The presumptive intermediate lobe (IL) is indicated.']	(6916, 6968)
