	IGNORANCE CATEGORY	ARTICLE	CUE SPAN	CUE	SENTENCE	SENTENCE SPAN
212	future_work	PMC4949713	[(13441, 13448)]	Further	['Childhoodâ\x80\x90onset ACP is likely to be a tumour of embryonic origin\n\nFurther molecular and genetic studies using the embryonic ACP mouse model have revealed two interesting findings on the pathogenesis of human ACPs, in particular, of childhoodâ\x80\x90onset ACP.']	(13373, 13629)
213	future_work	PMC4949713	[(16915, 16922)]	targets	['As CSCs may be particularly resistant to chemotherapy and radiation, it is thought that they can be responsible for cancer evolution, recurrence and metastasis, raising a significant interest in the oncology field as potential targets for novel specific therapies [55, 56, 57, 58, 59, 60].']	(16688, 16977)
214	future_work	PMC4949713	[(17910, 17917)]	Further	['Further molecular characterization of adult and childhood ACP may help resolve this hypothesis.']	(17910, 18005)
215	future_work	PMC4949713	[(25808, 25818)]	are needed	['Mouse and human studies have discovered several pathways that are dysregulated in ACP, but nonâ\x80\x90biased largeâ\x80\x90scale gene expression analyses of human ACP are needed to identify other targetable pathways and novel biomarkers capable of predicting tumour behaviour such as infiltrative potential and recurrence.']	(25652, 25963)
216	future_work	PMC4949713	[(25822, 25830)]	identify	['Mouse and human studies have discovered several pathways that are dysregulated in ACP, but nonâ\x80\x90biased largeâ\x80\x90scale gene expression analyses of human ACP are needed to identify other targetable pathways and novel biomarkers capable of predicting tumour behaviour such as infiltrative potential and recurrence.']	(25652, 25963)
217	future_work	PMC4949713	[(26175, 26186)]	opportunity	['If cancer is considered as the malignant progression of a preâ\x80\x90malignant lesion, then benign tumours offer a window of opportunity to better understand the early steps of cell transformation and tumour initiation.']	(26055, 26269)
218	future_work	PMC4949713	[(26285, 26294)]	is needed	['Such knowledge is needed if we aim to improve early diagnosis and to develop treatments, which eliminate tumour cells at more vulnerable stages of cancer progression.']	(26270, 26436)
219	future_work	PMC4949713	[(26301, 26307)]	aim to	['Such knowledge is needed if we aim to improve early diagnosis and to develop treatments, which eliminate tumour cells at more vulnerable stages of cancer progression.']	(26270, 26436)
220	future_work	PMC4949713	[(26613, 26628)]	Future research	['Future research is required to dissect this model further and to assess its impact in the cancer field.']	(26613, 26716)
221	future_work	PMC4949713	[(26663, 26670)]	further	['Future research is required to dissect this model further and to assess its impact in the cancer field.']	(26613, 26716)
418	future_work	PMC7547020	[(6796, 6803)]	require	['Other masses of this region, including glioma, pituitary adenoma, arachnoid cysts, and others, similarly require therapy tailored to the particular entity.']	(6691, 6846)
419	future_work	PMC7547020	[(7377, 7381)]	room	['This sets a high bar for machine-aided diagnoses, but also leaves room for clinically relevant improvement.']	(7311, 7418)
420	future_work	PMC7547020	[(17057, 17061)]	area	['While this represents an area for additional investigation, current literature suggests that TANDA can be expected to realize improvements of 2â\x80\x934% in CNNs with architectures comparable to our own.']	(17032, 17230)
421	future_work	PMC7547020	[(17066, 17090)]	additional investigation	['While this represents an area for additional investigation, current literature suggests that TANDA can be expected to realize improvements of 2â\x80\x934% in CNNs with architectures comparable to our own.']	(17032, 17230)
422	future_work	PMC7547020	[(25061, 25074)]	consideration	['This is likely due to the increase in relevant information put forth by consideration of both imaging modalities.']	(24989, 25102)
874	future_work	PMC7074265	[(556, 560)]	need	['Current treatment paradigms, involving surgical resection and radiotherapy, confer significant morbidity to patients and there is an obvious need to discover effective and safe alternative treatments.']	(415, 615)
875	future_work	PMC7074265	[(3156, 3163)]	targets	['As a result, recent years have witnessed significant efforts to fully elucidate the genomic, transcriptomic and proteomic make-up of ACP in an attempt to identify potential therapeutic targets for the treatment of this disease.']	(2971, 3198)
