	IGNORANCE CATEGORY	ARTICLE	CUE SPAN	CUE	SENTENCE	SENTENCE SPAN
10	explicit_question	PMC4949713	[(14176, 14179)]	Are	['Are these conclusions applicable to the human tumours?']	(14176, 14230)
11	explicit_question	PMC4949713	[(14229, 14230)]	?	['Are these conclusions applicable to the human tumours?']	(14176, 14230)
12	explicit_question	PMC4949713	[(18129, 18137)]	question	['To address this important question, SOX2+ve stem cells have been targeted to simultaneously express oncogenic mutant Î²â\x80\x90catenin and yellow fluorescent protein (YFP).']	(18103, 18270)
13	explicit_question	PMC4949713	[(20023, 20027)]	what	['A paracrine model for the involvement of pituitary stem cells in tumourigenesis\n\nIf murine ACP tumours are not derived from the mutated SOX2+ve stem cells in a cellâ\x80\x90autonomous manner, what is the mechanism underlying tumour formation?']	(19837, 20073)
14	explicit_question	PMC4949713	[(20072, 20073)]	?	['A paracrine model for the involvement of pituitary stem cells in tumourigenesis\n\nIf murine ACP tumours are not derived from the mutated SOX2+ve stem cells in a cellâ\x80\x90autonomous manner, what is the mechanism underlying tumour formation?']	(19837, 20073)
15	explicit_question	PMC4949713	[(20159, 20167)]	question	['Molecular analyses have provided some interesting and provocative insights into this question.']	(20074, 20168)
16	explicit_question	PMC4949713	[(22445, 22453)]	question	['An important question is to what extent these findings are relevant to human ACP.']	(22432, 22513)
17	explicit_question	PMC4949713	[(22460, 22464)]	what	['An important question is to what extent these findings are relevant to human ACP.']	(22432, 22513)
18	explicit_question	PMC4949713	[(23456, 23459)]	why	['If this was not the case, it would be difficult to explain why the tumour ends up killing all of the normal pituitary tissue, but sparing a limited population of nonâ\x80\x90dividing cells forming clusters.']	(23397, 23597)
19	explicit_question	PMC4949713	[(23598, 23605)]	Whether	['Whether the paracrine signals of the clusters may also be required for the initial transformation of the cell of origin of the tumour is an important question that requires further research.']	(23598, 23788)
20	explicit_question	PMC4949713	[(23748, 23756)]	question	['Whether the paracrine signals of the clusters may also be required for the initial transformation of the cell of origin of the tumour is an important question that requires further research.']	(23598, 23788)
21	explicit_question	PMC4949713	[(24393, 24402)]	questions	['It is established that mutations in CTNNB1 resulting in the overâ\x80\x90activation of the WNT/Î²â\x80\x90catenin pathway underlie the aetiology of ACP, but many questions remain unanswered.']	(24243, 24421)
22	explicit_question	PMC4949713	[(24422, 24425)]	Why	"[""Why are the tumourigenic effects of mutant Î²â\x80\x90catenin restricted only to Rathke's pouch embryonic precursors and adult pituitary stem cells?""]"	(24422, 24564)
23	explicit_question	PMC4949713	[(24563, 24564)]	?	"[""Why are the tumourigenic effects of mutant Î²â\x80\x90catenin restricted only to Rathke's pouch embryonic precursors and adult pituitary stem cells?""]"	(24422, 24564)
