PMC3342123.nxml.gz-136,"[['25643'], ['25651'], 'affected', 'affected', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_119']"
PMC3342123.nxml.gz-14,"[['1723'], ['1730'], 'related', 'related', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_8']"
PMC3342123.nxml.gz-148,"[['27622'], ['27633'], 'accompanied', 'accompanied', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_132']"
PMC3342123.nxml.gz-174,"[['29469'], ['29479'], 'associated', 'associated', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_141']"
PMC3342123.nxml.gz-182,"[['30203'], ['30209'], 'effect', 'effect', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_145']"
PMC3342123.nxml.gz-191,"[['30753'], ['30761'], 'involved', 'involved', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_149']"
PMC3342123.nxml.gz-199,"[['31248'], ['31256'], 'involved', 'involved', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_153']"
PMC3342123.nxml.gz-2,"[['36'], ['44'], 'provokes', 'superficial_relationship', 'superficial_relationship', 'PMC3342123.nxml.gz_0']"
PMC3342123.nxml.gz-208,"[['32259'], ['32265'], 'impact', 'impact', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_159']"
PMC3342123.nxml.gz-216,"[['32773'], ['32780'], 'related', 'related', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_161']"
PMC3342123.nxml.gz-229,"[['34192'], ['34199'], 'related', 'related', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_169']"
PMC3342123.nxml.gz-23,"[['2882'], ['2889'], 'provoke', 'superficial_relationship', 'superficial_relationship', 'PMC3342123.nxml.gz_15']"
PMC3342123.nxml.gz-236,"[['34339'], ['34349'], 'associated', 'associated', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_170']"
PMC3342123.nxml.gz-244,"[['34856'], ['34862'], 'impact', 'impact', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_173']"
PMC3342123.nxml.gz-254,"[['35791'], ['35797'], 'impact', 'impact', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_178']"
PMC3342123.nxml.gz-26,"[['3332'], ['3343'], 'accompanied', 'accompanied', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_17']"
PMC3342123.nxml.gz-3,"[['92'], ['99'], 'related', 'related', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_0']"
PMC3342123.nxml.gz-34,"[['4131'], ['4138'], 'effects', 'effects', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_20']"
PMC3342123.nxml.gz-37,"[['4345'], ['4352'], 'effects', 'effects', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_21']"
PMC3342123.nxml.gz-5,"[['213'], ['219'], 'impact', 'impact', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_0']"
PMC3342123.nxml.gz-7,"[['376'], ['383'], 'provoke', 'superficial_relationship', 'superficial_relationship', 'PMC3342123.nxml.gz_1']"
PMC3342123.nxml.gz-70,"[['7236'], ['7244'], 'affected', 'affected', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_38']"
PMC3342123.nxml.gz-76,"[['7633'], ['7640'], 'effects', 'effects', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_39']"
PMC3342123.nxml.gz-82,"[['10127'], ['10134'], 'related', 'related', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_55']"
PMC3342123.nxml.gz-86,"[['13032'], ['13042'], 'associated', 'associated', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_66']"
PMC3342123.nxml.gz-88,"[['13478'], ['13488'], 'associated', 'associated', 'SUPERFICIAL_RELATIONSHIP', 'PMC3342123.nxml.gz_69']"
