MODEL	NUM DISCONTINUITY ERRORS
0_all_combined_incomplete_evidence_biobert_model_local_PMC2672462.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3075531.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3169551.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3710985.nxml.gz	2
0_all_combined_incomplete_evidence_biobert_model_local_PMC4037583.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4275682.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4488777.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6022422.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6054603.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC2672462.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3075531.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3169551.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3710985.nxml.gz	2
0_all_combined_incomplete_evidence_biobert_model_local_PMC4037583.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4275682.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4488777.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6022422.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6054603.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC2672462.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3075531.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3169551.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3710985.nxml.gz	2
0_all_combined_incomplete_evidence_biobert_model_local_PMC4037583.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4275682.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4488777.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6022422.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6054603.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC2672462.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3075531.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3169551.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3710985.nxml.gz	2
0_all_combined_incomplete_evidence_biobert_model_local_PMC4037583.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4275682.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4488777.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6022422.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6054603.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC2672462.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3075531.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3169551.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3710985.nxml.gz	2
0_all_combined_incomplete_evidence_biobert_model_local_PMC4037583.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4275682.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4488777.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6022422.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6054603.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC2672462.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3075531.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3169551.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3710985.nxml.gz	2
0_all_combined_incomplete_evidence_biobert_model_local_PMC4037583.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4275682.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4488777.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6022422.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6054603.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC2672462.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3075531.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3169551.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3710985.nxml.gz	2
0_all_combined_incomplete_evidence_biobert_model_local_PMC4037583.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4275682.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4488777.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6022422.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6054603.nxml.gz	1
0_all_combined_anomaly_curious_finding_biobert_model_local_PMC5030620.nxml.gz	2
0_all_combined_incomplete_evidence_biobert_model_local_PMC2672462.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3075531.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3169551.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3710985.nxml.gz	2
0_all_combined_incomplete_evidence_biobert_model_local_PMC4037583.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4275682.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4488777.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6022422.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6054603.nxml.gz	1
0_all_combined_anomaly_curious_finding_biobert_model_local_PMC5030620.nxml.gz	2
0_all_combined_alternative_options_controversy_biobert_model_local_PMC2913107.nxml.gz	1
0_all_combined_alternative_options_controversy_biobert_model_local_PMC2999828.nxml.gz	2
0_all_combined_alternative_options_controversy_biobert_model_local_PMC3710985.nxml.gz	1
0_all_combined_alternative_options_controversy_biobert_model_local_PMC4275682.nxml.gz	4
0_all_combined_alternative_options_controversy_biobert_model_local_PMC4380518.nxml.gz	1
0_all_combined_alternative_options_controversy_biobert_model_local_PMC5030620.nxml.gz	2
0_all_combined_alternative_options_controversy_biobert_model_local_PMC5187359.nxml.gz	1
0_all_combined_alternative_options_controversy_biobert_model_local_PMC5540678.nxml.gz	1
0_all_combined_alternative_options_controversy_biobert_model_local_PMC5732505.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC2672462.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3075531.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3169551.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3710985.nxml.gz	2
0_all_combined_incomplete_evidence_biobert_model_local_PMC4037583.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4275682.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4488777.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6022422.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6054603.nxml.gz	1
0_all_combined_anomaly_curious_finding_biobert_model_local_PMC5030620.nxml.gz	2
0_all_combined_alternative_options_controversy_biobert_model_local_PMC2913107.nxml.gz	1
0_all_combined_alternative_options_controversy_biobert_model_local_PMC2999828.nxml.gz	2
0_all_combined_alternative_options_controversy_biobert_model_local_PMC3710985.nxml.gz	1
0_all_combined_alternative_options_controversy_biobert_model_local_PMC4275682.nxml.gz	4
0_all_combined_alternative_options_controversy_biobert_model_local_PMC4380518.nxml.gz	1
0_all_combined_alternative_options_controversy_biobert_model_local_PMC5030620.nxml.gz	2
0_all_combined_alternative_options_controversy_biobert_model_local_PMC5187359.nxml.gz	1
0_all_combined_alternative_options_controversy_biobert_model_local_PMC5540678.nxml.gz	1
0_all_combined_alternative_options_controversy_biobert_model_local_PMC5732505.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC2672462.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3075531.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3169551.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC3710985.nxml.gz	2
0_all_combined_incomplete_evidence_biobert_model_local_PMC4037583.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4275682.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC4488777.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6022422.nxml.gz	1
0_all_combined_incomplete_evidence_biobert_model_local_PMC6054603.nxml.gz	1
0_all_combined_anomaly_curious_finding_biobert_model_local_PMC5030620.nxml.gz	2
0_all_combined_alternative_options_controversy_biobert_model_local_PMC2913107.nxml.gz	1
0_all_combined_alternative_options_controversy_biobert_model_local_PMC2999828.nxml.gz	2
0_all_combined_alternative_options_controversy_biobert_model_local_PMC3710985.nxml.gz	1
0_all_combined_alternative_options_controversy_biobert_model_local_PMC4275682.nxml.gz	4
